id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4588164994041738,JAZzBgXrk,2020就要结束啦~回想芭比的这一年，白天兢兢业业的工作，晚上马不停蹄投入游戏的怀抱，在无数个熬夜的夜晚通关游戏，已经是个成熟的游戏人了，2021年许愿一天能睡10小时！救救芭比的黑眼圈！我想芭比的小可爱们也一定有些话想对2020的自己说吧~即日起关注@腾讯游戏手机 带#用游戏玩家的方式告别2020# 话题并艾特一位好友转发这条微博，分享你的故事~1月7日芭比会在转发中随机揪两位小可爱分别送出腾讯游戏手机一台！ 抽奖详情,2020-12-31,微博 weibo.com,1052,2769,28749,用游戏玩家的方式告别2020
4587778925138414,JAPwUlyJE,#腾讯游戏手机亿元补贴#第三波来啦！大家快来愉快薅鹅毛吧！12月25日 #使命召唤手游正式上线# ，购买腾讯游戏手机ROG3@ROG游戏手机 或者腾讯游戏手机黑鲨3S的用户，使用手机自带的应用市场下载+首次注册登录使命召唤手游 ，完成任务即有机会获取最高300元的微信红包返现福利！先到先得哦~ 详细规则看图，欢迎拿到返现红包的师父带#腾讯游戏手机亿元补贴#标签，给芭比晒图，芭比额外抽3位欧皇，平分300QB！晒晒欧气更足哟@使命召唤手游 腾讯游戏手机ROG3京东商城：ROG游戏手机3经典版 12GB+128GB 黑 骁龙865Plus 144Hz电竞屏 6000mAh电池  全网通5G手机 R,2020-12-30,微博 weibo.com,7,7,1,"腾讯游戏手机亿元补贴,使命召唤手游正式上线,腾讯游戏手机亿元补贴"
4582065721054417,JyqU44qiJ,专业跑分很严谨，一定要选择权威平台尝试。什么，不知道哪里专业？#JDEsports#计划了解一下？12月18日9:30，京东游戏手机产业联盟发布会，上京东搜“手游装备”，共赏大会直播，#为热爱致竞#。 腾讯游戏手机的微博视频 @京东手机通讯 ,2020-12-14,微博 weibo.com,4,0,0,"JDEsports,为热爱致竞"
