id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4592615486652490,JCRlOrUCe,2020#NOW直播年度盛典#阵容官宣👉🏻1月14日晚上18:00@腾讯NOW直播  @霍尊文化传播工作室  @陆虎ING @陈雪凝 @花僮nirico  @崔淼 @舞林高手Alice @Benson天宝 @一只小仓遥 @Yolanda萌妞子 @YOYO优优酱 腾讯NOW直播 APP现场直播，邀您共襄盛会！ ,2021-01-12,微博 weibo.com,14,7,0,NOW直播年度盛典
4591953288635014,JCA7KAemq,2020#NOW直播年度盛典#火热启动中，男神女神集结，人气偶像群星汇聚@霍尊文化传播工作室 @陆虎ING  @陈雪凝 @花僮nirico 一起劲歌热舞吗？想要亲眼见证明星主播们的舞台风采吗？@Benson天宝 @崔淼 @舞林高手Alice @一只小仓遥 @Yolanda萌妞子 @YOYO优优酱 赶紧打开腾讯NOW直播APP关注起来吧！1月14日18:00我们不见不散哦 ！ 腾讯NOW直播的微博视频,2021-01-10,iPhone客户端,103,16,3,NOW直播年度盛典
4585348585754832,JzOj0o95S,腾讯游戏《天涯明月刀》IP国风嘉年华今天火热来袭！13:00—21:30NOW直播将全程直播，和你共享天刀年度盛典。程潇，阿朵等神秘大咖将空降活动现场，为大家带来精彩纷呈明星表演赛及舞台表演，还有彭昱畅，PDD等嘉宾将以神秘方式连线。关注@腾讯NOW直播 +转发此微博，抽10名幸运鹅每人100Q币，记得锁定NOW直播《天涯明月刀》手游直播间哦， 点击右侧获取直播间链接吧，NOW娱乐直播间：解锁我的亲密玩法❤️️ 抽奖详情,2020-12-23,微博 weibo.com,26,35,74,
4584602427466586,JzuTwvkoO,国风大作《天涯明月刀》手游声优直播专场啦！今晚8点，国内顶级CV配音演员阿杰、吴磊、赵路等齐聚直播间，为你演绎江湖侠情，带来最新江湖线报！NOW直播将全程直播！关注@腾讯NOW直播 +转发此微博，抽10名幸运鹅每人100Q币，记得锁定NOW直播《天涯明月刀》手游直播间哦， 评论区获取直播间链接吧！ 抽奖详情,2020-12-21,微博 weibo.com,22,49,146,
