id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4592512591204427,JCOFR53kf,#海鹅和她的朋友们#2020感恩有你，2021势必会把更多的欢乐带给你海鹅希望优质的华语艺人被更多人看到以及你想在海鹅这里看到谁，欢迎把名字打在公屏上#WeTV Pick-A-Boo#  腾讯视频WeTV的微博视频 ,2021-01-12,微博视频,3290,172,35,"海鹅和她的朋友们,WeTV Pick-A-Boo"
4592966486723497,JD0tWsd5v,#网剧我的小确幸# 英文版终极预告！情之所起，一往而深，在严寒冬日，看小确幸给你爱的温暖今晚20点@腾讯视频WeTV 同步播出！@邢菲_ @唐晓天DADDI @黄一琳 @李川Leon @邓郁立 @付伟伦 @昌隆小朋友 @王莫涵_iki @杨安琪seven ，特别出演@刘畅 @潘时七 #我的小确幸开播# 腾讯视频WeTV的微博视频,2021-01-13,微博 weibo.com,35,5,6,"网剧我的小确幸,我的小确幸开播"
4592861818132180,JCXL7y7yc,#我就是这般女子#英文版预告大业风起云涌，这般群英集结，即将重磅开场！人间小辣椒 @关晓彤 x 清冷贵公子@侯明昊Neo 携手大业最强阵容集结 @李宗霖ChungLin @夏楠NN @赵顺然 @安泳畅_ @姜昊旻Leo 1月18晚20点，@腾讯视频WeTV 海外同步播出！ 腾讯视频WeTV的微博视频 ,2021-01-13,微博视频,127,31,9,我就是这般女子
4592845929584264,JCXluEdiU,泰剧亡者之谜超话 友友们早！周一的直播看的开心吗？上次没抽中的小伙伴这次祝你们好运哦关注@腾讯视频WeTV 转评赞并at1位好友，我们抽主演的双签2张！！（这次必须🈶️你  抽奖详情 ,2021-01-13,微博 weibo.com,256,296,297,
4592698994985357,JCTwvkUUZ,芜湖！粉丝要破30w了，值此新春佳节到来之际，海鹅想送点礼物给大家！待🐧想想看#wetv always more# ,2021-01-13,海鹅iPhone客户端,2902,471,17,wetv always more
4592591230213126,JCQIH0Trw,甜虐刻骨，不负前缘劫历三生；执念情深，无畏羁绊因你而来；@Dear-迪丽热巴 @深情的高伟光 #电视剧三生三世枕上书# 友友们，跟大家播报一下，小金书的DVD将在3月3日于日本发售，霓虹酱们冲吗 ,2021-01-12,微博 weibo.com,49246,904,526,电视剧三生三世枕上书
4592543696688260,JCPu1s3Va,#电视剧有翡# 滤镜已上线#王一博谢允# 你怕了吗Check OUT #LegendOfFei#  get the same experience as #Xieyun#  😬🔗Gateway: 网页链接 腾讯视频WeTV的微博视频 ,2021-01-12,微博 weibo.com,290,48,31,"电视剧有翡,王一博谢允,LegendOfFei,Xieyun"
4592523953571835,JCOYbeZcf,#电视剧你是我的荣耀# 您的好友玉兔捣药 & 手可摘棉花已杀青，并送了彼此一份甜蜜惊喜！于途@杨洋 、乔晶晶@Dear-迪丽热巴 （排名不分先后，按年龄排序）#你是我的荣耀杀青# 期待播出，海外同步《你是我的荣耀》杀青 杨洋热巴互送礼物超甜 ,2021-01-12,微博 weibo.com,1095,122,74,"电视剧你是我的荣耀,你是我的荣耀杀青"
4592507764087048,JCOy4h9e8,#我就是这般女子关晓彤特辑##关晓彤打戏好飒#不仅是容貌殊丽、艳压群芳，亦是胆识过人、女中之杰班婳@关晓彤 不负芳华，挥戈提剑辣爽前行1月18日@腾讯视频WeTV 海外独播，敬请期待《这般女子》关晓彤特辑：“人间小辣椒”酷飒来袭 ,2021-01-12,微博 weibo.com,258,64,52,"我就是这般女子关晓彤特辑,关晓彤打戏好飒"
4592492098357839,JCO8Nz4fR,想把你变成我私有，说尽下半生的晚安~距#网剧我的小确幸# 开播还有1天！  ,2021-01-12,微博 weibo.com,31,5,1,网剧我的小确幸
4592468195018091,JCNwfl3qX,燕云台超话 1月20日起在韩国Channel China频道播出，周一至周五每天一集，韩国的友友们冲吗 ,2021-01-12,微博 weibo.com,1291,133,66,
4592249251300710,JCHP75snc,#我就是这般女子定档# 今日乃大吉，宜定档！#关晓彤关方定档#入画入心，只愿君心似我心，定不负相思意@关晓彤 @侯明昊Neo1月18日起WeTV 海外独播 ,2021-01-11,微博 weibo.com,262,51,10,"我就是这般女子定档,关晓彤关方定档"
4592241701814621,JCHCW7C45,泰剧亡者之谜超话 #泰剧亡者之谜# 案件有了一定的进展，但一切好像都还疑点重重...今晚，继续锁定@腾讯视频WeTV  ,2021-01-11,微博 weibo.com,186,69,40,泰剧亡者之谜
4592211498382423,JCGQdzaEn,#电视剧锦心似玉# #锦心似玉剧照# 【01·11锦心日】良辰吉日，锦瑟年华。锦心佳节宜表白，宜相爱，宜携手前行。徐令宜@钟汉良 罗十一@谭松韵seven @腾讯视频WeTV  一起期待~ ,2021-01-11,微博 weibo.com,329,40,14,"电视剧锦心似玉,锦心似玉剧照"
4592178225222683,JCFYylUEP,恋恋不舍，一眼万年，重逢是因为总有一个人不肯放弃。距#网剧我的小确幸# 开播还有2天！ WeTV海外独家播出哦 ,2021-01-11,微博 weibo.com,106,17,5,网剧我的小确幸
4592151114293256,JCFgPi0S4,倾尽全力望护你周全，千里奔波愿此生不负@赵丽颖 @UNIQ-王一博 #电视剧有翡# ,2021-01-11,微博 weibo.com,3991,202,125,电视剧有翡
4592123355602902,JCEy3nvzo,林一超话 #林一0111生日快乐# 林一迪迪@我是林一同学 生日快乐🎂 海鹅和海外粉丝们共同期待#良辰美景好时光# 和#电视剧玲珑#  ,2021-01-11,林一超话,528,140,60,"林一0111生日快乐,良辰美景好时光,电视剧玲珑"
4591901205071550,JCyLKlhlc,#电视剧有翡# 最佳情侣装了解一下#摩登不分古今# #般配是一种默契# #时尚是一种态度# ,2021-01-10,海鹅iPhone客户端,384,36,11,"电视剧有翡,摩登不分古今,般配是一种默契,时尚是一种态度"
4591885958780045,JCyn9AQ5D,WeTV2020油管区魅力值MAX女主#电视剧三生三世枕上书# #我喜欢你# #你是我的命中注定#  #传闻中的陈芊芊# #忘记你记得爱情#  更多精彩，尽在WeTV #wetv always more#  腾讯视频WeTV的微博视频 ,2021-01-10,影视资讯 · 视频社区,7201,401,125,"电视剧三生三世枕上书,我喜欢你,你是我的命中注定,传闻中的陈芊芊,忘记你记得爱情,wetv always more"
4591822888764221,JCwJqALYp,泰剧亡者之谜超话 明晚直播你来吗预约来👉 网页链接 ,2021-01-10,海鹅iPhone客户端,141,79,40,
4591814848548015,JCwwszRJd,念念不忘，终有回响，只要是你晚点又有什么关系呢距#网剧我的小确幸# 开播还有3天！ ,2021-01-10,海鹅iPhone客户端,63,2,2,网剧我的小确幸
4591463214353341,JCnnjigvb,WeTV2020油管区最帅男主角一览看看有无你pick的小哥哥#电视剧三生三世枕上书# #我喜欢你# #你是我的命中注定#  #传闻中的陈芊芊# #甜了青梅配竹马# 更多精彩，尽在WeTV #wetv always more#  腾讯视频WeTV的微博视频 ,2021-01-09,影视资讯 · 视频社区,3676,319,83,"电视剧三生三世枕上书,我喜欢你,你是我的命中注定,传闻中的陈芊芊,甜了青梅配竹马,wetv always more"
4591154782013371,JCflQ8rLJ,#创造营#2021 #海星鹅宝藏屋#雨天的伞、 晴空下的树、夜晚的烟花、手中的风车、海边的吉他和尤克里里…男孩们的海岛冒险故事小元素解锁ps.海星鹅也一直在 ,2021-01-08,微博 weibo.com,5954,197,17,"创造营,海星鹅宝藏屋"
4591148196958066,JCfbdtc6S,今天开始你进入了我的世界，就不要从我眼里逃跑哦。#永远的第一名# WeTV今晚八点，准时播出 ,2021-01-08,微博 weibo.com,164,37,12,永远的第一名
4591137195301428,JCeTtmf8U,#小确幸欲告片# 确幸就是，你喜欢的人，恰好也喜欢你。@邢菲_  @唐晓天DADDI 1月13日 @腾讯视频WeTV 同步播出~#网剧我的小确幸# ,2021-01-08,微博 weibo.com,516,177,62,"小确幸欲告片,网剧我的小确幸"
