id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4592629255776269,JCRI1oeFD,【#外星人漫游#：“外星人”征战英雄联盟超话 手游 上演脱口秀向“地球人”开火】妹子LOL手游上手初体验，操作金克斯中路单杀火影劫！立下神秘FLAG惨遭瞬间打脸更多故事请观看节目！外星人漫游第6期：“外星人”吐槽地球人？LOL手游初体验！ ,2021-01-12,微博 weibo.com,3,0,1,外星人漫游
4592286530800346,JCINf3mcO,他们拥有极具特色的黑色防弹头盔，欧洲宪兵、反恐精英原型，黑死死神是他们的冷酷代号，恐怖分子更是视他们为挥之不去的噩梦！想知道他们是谁？敬请收看本期《使命召唤手游-军武mini》，带你揭秘法国反恐王牌部队GIGN！使命召唤手游超话 #跨年游我#  腾讯爱玩游戏的微博视频 ,2021-01-11,微博视频,3,0,0,跨年游我
4591790156683764,JCvSDs2KE,#黑夜与人间烟火#@NV-Paraboy 大心脏比赛型选手总结18岁，你猜他怎么说？和@NV-XQF 和平精英队友日常欢乐多，自我调侃比赛成绩好，颜值就高。还有对和平精英普通玩家的上分秘籍，千万别错过➡️Paraboy称自己是比赛型选手 颜值取决于成绩 ,2021-01-10,iPhone客户端,1,1,0,黑夜与人间烟火
4591204010046290,JCgDf0c2C,挽救祖国于危亡之际，神兵索降击毙对手，完美解救伊朗大使馆人质；舰队远征万里，收复马岛，贝爷也曾是这支部队其中一员！揭秘世界特种部队鼻祖——英国SAS，敬请收看本期《使命召唤手游-军武mini》！使命召唤手游超话 #跨年游我#  腾讯爱玩游戏的微博视频 ,2021-01-08,手机游戏 · 视频社区,1,1,0,跨年游我
4590507772608694,JBYwhaWDI,海陆空三栖精英，飞天遁地无所不能！反绑手脚扔入3米泳池，世界上最著名的特种部队海豹突击队是如何炼成的？敬请收看本期《使命召唤手游-军武mini》，带你看海豹突击队为何是反恐之王！#跨年游我# 使命召唤手游超话  腾讯爱玩游戏的微博视频 ,2021-01-06,手机游戏 · 视频社区,5,0,0,跨年游我
4590017416531569,JBLLnrp9T,【#跨年游我# 史上最让人崩溃的游戏，被人踩、坠悬崖！萌妹直喊心累】#人类跌落梦境# 这游戏告诉了我们——人类根本没进化#外星人漫游#  腾讯爱玩游戏的微博视频 ,2021-01-05,手机游戏 · 视频社区,8,0,1,"跨年游我,人类跌落梦境,外星人漫游"
4589756120564535,JBEXW2mRp,标新立异的口径、新颖的无托结构，全世界长度最短步枪，中国95式步枪为何能问鼎世界名枪？敬请收看本期《使命召唤手游-军武mini》，带你看95式自动步枪为何是中国军工的骄傲！军武第7期：中国军工的骄傲！95式自动步枪为何能成世界最短？#使命召唤手游# #使命召唤# ,2021-01-04,微博 weibo.com,1,1,0,"使命召唤手游,使命召唤"
4588642536785633,JBbZPstfH,美军特种部队为何用这款步枪击毙了本拉登？德国军工30年打造，这款枪竟被称为“最完美步枪”！敬请收看本期使命召唤手游-军武mini，带你看被称为“最完美步枪”到底是什么枪？#使命召唤手游# #使命召唤手游正式上线# #周杰伦代言使命召唤手游## 周杰伦我又可以了#军武第6期：史上最完美步枪！美军为何选它击毙恐怖分子鼻祖？ ,2021-01-01,微博 weibo.com,0,1,0,"使命召唤手游,使命召唤手游正式上线,周杰伦代言使命召唤手游"
4587949499091862,JATY1C9cW,周杰伦代言使命召唤手游系列节目又上线！带你揭露枪王之王——史上最致命武器！产量超过1亿支！一支制造粗劣的步枪为何被称为“枪王之王“？为何被称为最大规模杀伤性武器？杀伤力竟超原子弹？一款注定使用100年的枪，苏联军工颠覆之作品，枪王AK究竟如何炼成？#使命召唤手游# #枪王# #周杰伦我又可以了# #周杰伦# #codm# 军武第5期：产量超1亿！AK-47杀伤力竟超原子弹？,2020-12-30,微博 weibo.com,1,0,0,"使命召唤手游,枪王,周杰伦我又可以了,周杰伦,codm"
4587605369298587,JAL0YD0Zd,#2020游戏盘点总结#年度最佳美末2被玩家不齿跳票之王赛博朋克BUG满天手游营销奇迹再现？缝合大怪接连不断！2020堪称玩家心中最魔幻一年快来看这期年终特辑 为你盘点2020游戏圈大事件→#最后生还者2##赛博朋克2077##今天你玩赛博朋克2077了吗##手游##原神##你的2020年度游戏# 外星人漫游第4期：2020游戏总结！翻车、缝合、赛博朋克？,2020-12-29,微博 weibo.com,3,0,0,"2020游戏盘点总结,最后生还者2,赛博朋克2077,今天你玩赛博朋克2077了吗,手游,原神,你的2020年度游戏"
4587214077444107,JAAPRveyf,一场不可能完成的特战任务，纳粹即将研制出原子弹。雪山之巅的绝地破袭，神兵天降的英国特种部队如何捣毁纳粹核工厂？敬请收看使命召唤手游-军武mini，带你看改写二战进程的特战行动！#使命召唤手游##使命召唤手游正式上线# #周杰伦代言使命召唤手游# →军武第4期：4名特种队员潜入深山 看到这一幕却瞬间崩溃？ ,2020-12-28,微博 weibo.com,1,0,0,"使命召唤手游,使命召唤手游正式上线,周杰伦代言使命召唤手游"
4586364504375844,JAeJAimm8,#黑夜与人间烟火# 电竞篇上线！@RNGLetme 直言电子竞技是值得重视以及尊重的职业，明星选手压力大更应获得团队支持；@NV-Paraboy 回忆嗦粉时光，更珍惜当下为了冠军熬过的夜；两届MVP@WB_TS暖阳 不在乎个人荣誉，因为这是团队游戏！听逐梦少年讲述他们的故事。#英雄联盟##和平精英##王者荣耀# 电竞篇：指破长空，少年逐梦！Letme伞兵暖阳讲述成长故事,2020-12-26,iPhone 11 Pro Max,1,0,0,"黑夜与人间烟火,英雄联盟,和平精英,王者荣耀"
4586086342591528,JA7uWaSaQ,#黑夜与人间烟火# 电竞篇预告！@RNGLetme @NV-Paraboy @WB_TS暖阳 分享与电子竞技的“邂逅”，这个行业能出头的人都是天赋与勤奋俱佳，想入行？先认清自己的实力。“指”破长空，少年逐梦，正片明天上午9点上线，敬请期待！电竞篇预告：Letme暖阳伞兵分享与电子竞技的“邂逅” ,2020-12-25,微博 weibo.com,0,0,0,黑夜与人间烟火
4586080211045283,JA7l34nVp,《使命召唤手游》于今日正式上线！20分钟告诉你为何使命召唤系列被称为经典！其中还有不为人知的幕后开发秘闻，经典角色大盘点，以及手游版独家快速上手秘诀。巨星周杰伦和全新的神秘角色在等着你的到来，拿起手机加入吧！→无需2倍速！20分钟看懂周杰伦都爱的使命召唤讲了啥？ ,2020-12-25,微博 weibo.com,0,0,0,
4585688252551027,JzX8RaHDB,@使命召唤手游：在枪林弹雨的较量中，成为自己战场上的王者。感谢四位明星朋友为#使命唤醒计划#为梦想发声，讲述平凡人不同的使命故事。12月25日，#上腾讯视频，下载使命召唤手游# 看使命故事，一起为梦想而战。观看链接️→腾讯视频携手使命召唤手游发起使命唤醒计划：第四篇章——音乐守护者使命计划 ,2020-12-24,微博 weibo.com,0,0,0,"使命唤醒计划,上腾讯视频，下载使命召唤手游"
4585590424607026,JzUB4jkuS,周杰伦 x《使命召唤手游》超燃大片正式首播——周董首次执导的枪战题材，打破次元壁的使命角色、全新的使命剧情！看到#周杰伦我又可以了# 12月25日，就在明天，使命集结官周杰伦等你踏上使命战场！#使命召唤手游#周杰伦首次执导枪战大片！震撼来袭！ ,2020-12-24,微博 weibo.com,2,0,1,"周杰伦我又可以了,使命召唤手游"
4582714399790975,JyHMjF54X,#她有她格##街霸对决# 菊姐做客首档女性格斗自制栏目《她有她格》啦！存在的意义不是去创造什么，而是让大家看到多元与别样的可能。她是@王菊 ，让我们一起进入她的格斗世界。@街霸对决手游 【正片】第5期：Real王菊的搏击人生 北京 ,2020-12-16,iPhone 12 Pro Max,59,60,38,"她有她格,街霸对决"
4582393380340120,Jyzqy1qtO,周杰伦携“使命召唤”系列经典角色震撼亮相！周杰伦x《使命召唤手游》预告片今天正式首播！同时《使命召唤手游》也正式官宣定档12月25日#使命召唤手游终于定档#。周董的新造型太帅了吧#周杰伦##周杰伦我又可以了#周杰伦 X《使命召唤手游》官方正式预告片 ,2020-12-15,微博 weibo.com,4,2,0,"使命召唤手游终于定档,周杰伦,周杰伦我又可以了"
