id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4592966486203436,JD0tWq1Nq,K歌之帆，光耀起航！歌手@黄龄 @胡夏 @孟美岐 @单依纯 @腾格尔 @郁可唯 @庄心妍Ada @张信哲JeffChang 主持人@Host华少 @李晨nic 邀你一起见证群星璀璨的狂欢之夜！马上戳这里网页链接 预约观看直播，我们1月17日#全民K歌年度盛典#颁奖之夜不见不散！ 全民K歌的微博视频 ,2021-01-13,微博 weibo.com,1392,147,50,全民K歌年度盛典
4592912745371262,JCZ5gmxjg,心动警报拉响光是看摄影棚花絮就开始期待的搓搓手了！更多精彩锁定1月17日#全民K歌年度盛典#颁奖之夜，看K歌达人如何燃炸舞台！快快预约观看直播，抢占前排吧网页链接  全民K歌的微博视频 ,2021-01-13,微博视频,14,11,1,全民K歌年度盛典
4592635543558580,JCRSaeVKs,#腾讯音乐娱乐盛典#即将开启！快上全民K歌抢澳门会场门票，和爱豆一起见证星光耀眼！在全民K歌APP搜索“TMEA”进入活动专题页参与翻唱大赛或者抽奖活动，就有机会得到TMEA中国·澳门主会场门票哦！快速戳下图查看抢票秘籍2.0吧！本条微博安子也将送出福利哦~关注@全民K歌，并转评赞本条微博，安子将通过微博抽奖工具抽取1位幸运粉丝获得门票1张，还不快转起来~【特别注意：赴澳门参与活动需要遵守当地防疫检疫政策，疫情反复，请各位粉丝随时注意出行地和澳门的相关政策。附澳门官方防疫政策官网链接：网页链接】,2021-01-12,微博 weibo.com,12707,4374,5001,腾讯音乐娱乐盛典
4592550042408126,JCPEga6sK,2020TMEA#腾讯音乐娱乐盛典# 第二波#TMEA阵容# 重磅官宣！鲜花怒马，所有的梦想绽放时刻等你一起来见证！惊鸿歌者@阿悠悠爱唱歌新生代原创音乐人@Bomb比尔啊勇敢的活力少年们@BOYSTORY_Official优质音乐人@陈立农电音唱作人@CORSAK胡梦周国风人气女歌手@等什么君百变唱将@冯提莫民谣男孩@零一九零贰音乐制作人@梦然MIYA电子国风女团@SING女团天生歌者@Sunnee杨芸晴优质唱作人@汪苏泷唤醒无限可能的男团@无限王者团歌手、制作人@小鬼-王琳凯德云女孩们的梦中情人@小辫儿张云雷（艺人按姓名首字母顺序）你最期待谁的到来？一键预约盛典前排占座网页链接,2021-01-12,微博 weibo.com,6484,419,196,"腾讯音乐娱乐盛典,TMEA阵容"
4592217623101554,JCH06d0R4,#K歌星动态#本周明星活动指南新鲜出炉！为你解锁新的一周音乐热点~🔹周三 实力偶像少年团@BOYSTORY_Official 邀你和他们一起甜蜜合唱《苦甜》，速来跟弟弟们一起唱歌！🔹周五 @王博文小白  携全新个人专辑《我可否将人生比作一场竞技》做客#K-live# #音乐上新季#，和你直播唱歌零距离互动~本周  电视剧《了不起的女孩》、《有翡》、《大江大河2》OST翻唱大赛仍在进行中，只要你翻唱剧中热门歌曲，就有机会赢取主演签名照！同时，“金曲传承 欢唱新年”活动持续开展中，参与翻唱即有机会赢取@卓依婷 、@姜育恒 等明星签名照哦！快来参与吧！,2021-01-11,微博 weibo.com,404,96,40,"K歌星动态,K-live,音乐上新季"
4591773240265784,JCvrm178Q,#明星听你唱#翻牌活动来咯！Sunnee在新专首唱会来听大家唱歌啦！现场居然还有德语翻唱的告白演唱，连她本人听完都害怕“被抢饭碗”！你最喜欢哪位友友的作品，来在评论区说说你的看法吧！杨芸晴超话  全民K歌的微博视频 ,2021-01-10,微博视频,652,149,82,明星听你唱
4591176960978862,JCfVC46E6,2021建党百年之际，由新华社新媒体中心联合全民K歌共同发起的“唱支歌给党听——建党百年·唱响中国”活动正式启动啦！全民K歌已正式开启线上征集赛道，20首经典爱党爱国歌曲等你来唱！本次征集活动将持续5个月，优秀作品还有机会在新华社官方平台推荐展播。点击链接投稿 网页链接，带上你对党的美好祝愿，一起用歌声为党庆生！,2021-01-08,微博 weibo.com,40,83,8,
4591052973409025,JCcHDeiQh,#全民K歌年度盛典嘉宾阵容#官宣！前方高能预警！1月17日，歌手@黄龄 @胡夏 @孟美岐 @单依纯 @腾格尔 @郁可唯 @庄心妍Ada @张信哲JeffChang 主持人@Host华少 @李晨nic ，将与K歌主播们齐聚#全民K歌年度盛典#颁奖之夜，见证K歌人的梦想发光发热，一起用歌声唱响未来！猛戳这里网页链接 预约观看线上直播，围观盛典高光时刻，还有千万豪礼等你瓜分！,2021-01-08,微博 weibo.com,22075,885,1338,"全民K歌年度盛典嘉宾阵容,全民K歌年度盛典"
4590405201430930,JBVQQ60fw,想在#腾讯音乐娱乐盛典#见到爱豆吗？快上全民K歌抢澳门会场门票，一起见证星光耀眼！在全民K歌APP搜索“TMEA”进入活动专题页参与翻唱大赛或者话题发布，只要你人气够高实力够强，或者欧气满满，就能得到TMEA中国·澳门主会场门票哦！快速戳下图查看抢票秘籍吧👇还有还有，关注@全民K歌，并转发本条微博并艾特1位好友，安子将通过微博抽奖工具抽取1位幸运粉丝获得门票1张，还不快转起来✊Music to Live！1月23日，用音乐创生，让热爱归位。【特别注意：赴澳门参与活动需要遵守当地防疫检疫政策，疫情反复，请各位粉丝随时注意出行地和澳门的相关政策。附澳门官方防疫政策官网链接：网页链接】 抽奖详情,2021-01-06,微博 weibo.com,11199,2477,5055,腾讯音乐娱乐盛典
4590339162383258,JBU8k9ZZE,秉正道前行，坚持按照自己的良知做事。@大江大河官微 与#全民K歌# 联合发起#大江大河2K歌大赛# 啦福利1：打开全民K歌搜索「大江大河2」进入大赛页面翻唱剧中OST，就有机会赢得@王凯kkw  @杨烁 @董冬咚d @杨采钰Ora 等主演签名照和精美周边礼品福利2：复制参赛作品链接发布微博到 王凯 超话内，带话题#大江大河2K歌大赛# 并 @全民K歌 、@大江大河官微 将随机挑选1位剧粉获得【王凯签名照】一张和精美周边礼品！福利3：转发本条微博并艾特1位好友，安子将通过微博抽奖工具抽取5位幸运粉丝获得精美周边一份~ ！,2021-01-06,微博 weibo.com,560,308,393,"全民K歌,大江大河2K歌大赛,大江大河2K歌大赛"
