id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4592882474812404,JCYirkbVq,#新视力音乐榜#@陈翌朦_豆沙 《替你》新视力音乐榜独家首发！疫情劫后余生的世界，我会想你，但不会再日夜哭泣。快来戳→发电榜单 为她打call吧！写给疫情中失去至爱的人们，陈翌朦原创单曲《替你》，希望给你一些力量 #一首歌辞旧迎新# ,2021-01-13,iPhone 11 Pro,11,18,4,新视力音乐榜
4592867445579466,JCXUcnpto,《Time2wake-up》舞蹈版MV惊喜上线，酷拽dancer@林小宅 每个动作都恰到好处，配合歌词引起舒适，每个点都卡在心上，跟随律动聆听她的个性态度，快来感受一下吧。林小宅《Time2wake-up》舞蹈版MV ,2021-01-13,iPhone 11 Pro,59,25,0,
4592603490157934,JCR2t0F5k,#新视力音乐榜#@MAXPOWER嘻哈厂牌 @Meyons-毛阳 跨年现场《I Wanna Play Everyday》开启“新视力音乐榜”打榜模式！发电榜单 MAXPOWER的大力丸们，赶快一起来为Meyons发电啦！！！Meyons原创单曲《I wanna play everyday》燃爆跨年现场 ,2021-01-12,iPhone 11 Pro,7,11,3,新视力音乐榜
4592562189374577,JCPXQDkKR,重塑未来，重塑自我。@刘柏辛Lexie 全新创作EP先行曲《有吗炒面》正式上线——包办词曲并且身兼此次EP的首要编曲、制作人与监制，刘柏辛将开启艺术生涯的崭新纪元，即将发行的EP将多维度呈现她革新性的音乐突破与自我成长。#有吗炒面#作为重磅开篇，MV“不计成本”地呈现了刘柏辛及团队天马行空的视觉创想，超前的音乐性彰显出其“重塑未来”的勇气。#刘柏辛Lexie[超话]#刘柏辛Lexie《有吗炒面》MV,2021-01-12,iPhone 11 Pro,2,0,0,"有吗炒面,刘柏辛Lexie[超话]"
4592145777826063,JCF8dwPUP,#新视力音乐榜#@丝绒公路乐队 《出走》演唱版获得周榜（1.4-1.10）冠军！依然如此蓝的天，世界充满新鲜。快来戳→丝绒公路乐队新歌《出走》现场版MV #一首歌辞旧迎新# 和我们一起出走，踩下属于你的印记！发电榜单  查看图片,2021-01-11,iPhone 11 Pro,16,12,5,新视力音乐榜
4591088923318542,JCdDCdViS,#BOYSTORY新歌ID# BOY STORY新专辑主打曲《ID》上线！少年们亲自参与并挑战45天音乐制作，在规定时间内创作一支全新音乐和舞蹈！六人六色，从心出发！用热血守护男孩之梦，用音乐验证青春本色！BOY STORY《ID》Special Video ,2021-01-08,iPhone 11 Pro,261,60,2,BOYSTORY新歌ID
4591082047802443,JCdswwJLR,#新视力音乐榜#@MAXPOWER嘻哈厂牌 @Cy阳巅峰 原创歌曲《发大财》获得月榜（12.1-12.31）冠军每年大家都有同样的愿望——发大财！听完这首《发大财》，2021大家一起发大财！发电榜单 ,2021-01-08,iPhone 11 Pro,9,9,3,新视力音乐榜
4590723413839574,JC485g6QC,#徐艺洋新歌会不会再见MV#@徐艺洋-Yiyang 新歌MV预告来袭，置身暗房，胶卷拉开解锁闪回记忆，雪中漫步，风吹动思绪，时钟滴答情感在苏醒。妹妹的歌声充满画面感、回忆感，听不够！明天9:12#徐艺洋首张EP会不会再见#上线 ，第一时间聆听徐艺洋的新声。徐艺洋《会不会再见》MV teaser ,2021-01-07,iPhone 11 Pro,13,3,2,徐艺洋新歌会不会再见MV
4589986332019185,JBKXf8thv,#新视力音乐榜#@MAXPOWER嘻哈厂牌 @Cy阳巅峰 原创歌曲《发大财》获得周榜（12.28-1.3）冠军每年大家都有同样的愿望——发大财！听完这首《发大财》，2021大家一起发大财！发电榜单 ,2021-01-05,iPhone 11 Pro,9,18,1,新视力音乐榜
4589981193999070,JBKOXgMl8,#新视力音乐榜#@晚春乐队 《壶霜》新视力音乐榜独家首发！太阳总会像往常一样升起，2021我们一定会变得更好[爱心]快来戳→晚春乐队《壶霜》现场版#一首歌辞旧迎新# 和我们一起干了这杯酒，迎接新的一年！发电榜单 ,2021-01-05,iPhone 11 Pro,7,5,3,新视力音乐榜
4589981002109196,JBKOE8QHi,#徐艺洋首张EP会不会再见#@徐艺洋-Yiyang  首张EP人物海报里，徐嘤嘤元气满满，西装酷帅气场强、雪地场景温柔美好、居家风温馨可爱，闪闪发光的妹妹首张EP的歌曲也是风格多变的三首歌，新的一年全新的徐艺洋，期待1月8日EP上线！ ,2021-01-05,iPhone 11 Pro,5,0,0,徐艺洋首张EP会不会再见
4588691705566377,JBdh8nm4h,@张瑶 全新EP《冬夏》惊喜上线！百感交集的一年终于结束，而我们也是时候去迎接更好的旅程，相信有这些音符编制的故事，你的冬天不会再寒冷。三首单曲收录其中，作为张瑶献给新世界的礼物，用三段心路历程，汇聚了过去和现在，而未来，现在就让我们一起用音乐来打开——冬夏 ,2021-01-01,iPhone 11 Pro,8,13,1,
4588553961211020,JB9GY552A,#邓超元新歌EveryDay# 2021年的第一天，@邓超元Aaron 用歌声跟大家说新年快乐，这首R&B风格的小甜歌由邓超元参与作词，是送给超元粉丝“元气”们的一首歌，节奏舒缓，旋律清新，配上邓超元充满磁性的男中音，在新年的这天送来海风般的温暖——希望新的一年大家都能度过美好的“EveryDay” Every Day,2021-01-01,iPhone 11 Pro,4,5,0,邓超元新歌EveryDay
4588238356355824,JB1tVqFri,"#江苏卫视跨年彩排# #张杰江苏跨年彩排#星河璀璨，他似光束，这一刻，用音乐，让世界静息聆听。江苏卫视2021跨年演唱会，华语LIVE王@张杰 彩排进行时 #顶秀前奏# 
今晚19:30，@腾讯视频  @腾讯综艺 全程直播！ ",2020-12-31,iPhone 11 Pro,22,21,1,"江苏卫视跨年彩排,张杰江苏跨年彩排,顶秀前奏"
4588238004814296,JB1tmkcpW,#跨年演唱会#喜剧时间到~各位笑匠已就位常远@演员常远 、陈昊明@陈昊明 、王成思@王成思99 、王宁@演员王宁 齐聚今晚，贫嘴金句满天飞。跨年夜狂欢，挑逗你的笑点！12月31日，19：30来腾讯视频看跨年演唱会@腾讯视频  @腾讯综艺  全程直播常远给您拜年啦!一起迎接2021跨年夜抢先预订，陈昊明和你不见不散王成思请你来看跨年表演啦！王宁提前请你来一起跨年   网页链接,2020-12-31,iPhone 11 Pro,3,2,0,跨年演唱会
