id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4587911372613655,JASYxaXVJ,2021公历新年将至，@深圳机场 也增添了一抹节日氛围。远远望去，一排排灯笼簇拥成团，吸引了路过旅客拍照打卡。这个亮眼的一角名叫《明灯——云上之城》，“浮”在空中的灯笼表面印上的都是各个发展时期的织物花纹，整体造型是一个壮阔的“浪潮”形状，表现了深圳是中国改革开放的一盏明灯，四十年来积累了巨大发展成就，并始终站在中国探索未来的潮头浪尖，引领时代发展。宫灯下面是一幅深圳城市局部的沙盘图景，突出了产业上云、云上城市的创意。同时，机场也借宫灯所蕴含的美好寓意，向伟大的医务工作者、一直奋斗在抗疫一线的各行各业的人们，表达了深深的敬意和崇高的礼赞。你对新的一年有什么期待？不妨去现场打个卡吧～,2020-12-30,微博 weibo.com,5,4,0,
4583838934375903,Jzb25imn5,#2020 Techo Park开发者大会# 开始啦！想知道如何玩转会场？想了解上哪看大会直播？看这里，Techo Park线上、线下参会攻略一图搞定！点击 网页链接 观看直播！ ,2020-12-19,,6,17,555,2020 Techo Park开发者大会
4583080579571833,JyRiVEa4p,#Techo Park 开发者大会#云端盛宴，即将起航！更有Techo首位虚拟主持人陪你提前玩转大会，戳👇了解更多信息 ,2020-12-17,,4,0,0,Techo Park 开发者大会
4581384461751033,Jy9bg7lwt,#Techo Park 开发者大会#云端盛宴，即将起航！2020年12月19日-20日，北京·751 D·PARK北京时尚设计广场，不见不散！点击官网链接立即报名网页链接 ,2020-12-12,,2,1,1,Techo Park 开发者大会
