id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4593026863736560,JD23kfG36,【男子花527万动刀75次变身芭比娃娃，如今变成女生还收获百万粉丝】近日，巴西。一名37岁男子酷爱芭比娃娃，竟接受了跨性别手术，如今她已经成为了一名女生。过去一年多，她先后花费超过60万英镑（约527万元人民币）前往英国接受了75次整容手术。由于做过太多次鼻部整形手术，导致她失去了嗅觉。她还在手臂上注射凝胶，这一度让她暂时失去了双臂功能。她经常在网上分享自拍照，如今已收获超过120万粉丝。有网友表示支持她的做法，也有网友表示她手术次数太多，已经对健康造成了影响。男子花527万动刀75次变身芭比娃娃，如今变成女生还收获百万粉丝,2021-01-13,新版微博 weibo.com,1,0,0,
4593019310051864,JD1R90duw,【男子车尾贴8个字被查，仔细一看笑翻网友】1月12日，安徽亳州，交警五大队铁骑队员巡逻时，发现一辆轿车异常。该车脱审且没有保险，驾驶员无驾驶证，车后方贴有“驾校除名，自学成才”字样。目前该驾驶员已被依法处罚。交警：真“诚实”男子车尾贴8个字被查，仔细一看笑翻网友 ,2021-01-13,新版微博 weibo.com,0,0,0,
4593004213960971,JD1sNgCqD,【广西药监局通报女局长坠亡：因独子意外身亡受到打击】广西壮族自治区药品监督管理局党组书记、局长文某旭在1月11日晚坠楼身亡。多个信源显示，文某旭坠楼的地点在南宁市青秀区云景路美泉1612小区，其是从位于该小区11栋25层某号房坠下的。广西药监局55岁女局长从25楼坠亡！因独子抑郁症前一天坠亡受打击 ,2021-01-13,新版微博 weibo.com,1,0,0,
4592996663701746,JD1gCfwZA,【万达长白山国际度假区项目遭遇“滑铁卢”：187套别墅全拆除】2018年4月12日，别墅拆除正式启动，投入1000余万元，2018年6月28日，93栋187套违规别墅全部拆除。同时，依法依规追究32名相关单位和人员责任，其中厅级5人、处级7人、科级及以下20人。万达长白山项目的“滑铁卢”：187套别墅全拆除 ,2021-01-13,新版微博 weibo.com,0,0,0,
4592989109761011,JD14qEXhF,【大连出现超级传播1传33，中疾控专家：不意味着病毒发生根本变化】对于大连疫情中出现1传33的超级传播现象，中国疾病预防控制中心副主任冯子健表示，1传33并不意味着疾病发生根本性变化，现阶段疫情的高发状态主要跟气温有关。大连出现超级传播1传33，中疾控专家：不意味着病毒发生根本变化 ,2021-01-13,新版微博 weibo.com,0,0,0,
4592981564986089,JD0SgkV6N,【3岁女童挂窗外，退伍老兵营救摔成粉碎性骨折】近日，山东莱西。一名幼童头部被卡在三楼防盗窗处，整个身体悬在空中。退伍老兵曹强文危急情况下徒手爬楼救孩子，从楼上意外跌落。随后消防员及时赶到，将孩子救了下来。看到孩子安全后，曹强文才感受到疼痛前往医院接受治疗。检查后发现右跟骨粉碎性骨折，但曹强文表示自己不后悔，说自己必须要挺身而出。退伍老兵爬窗台救娃从三楼摔下，事发瞬间曝光,2021-01-13,新版微博 weibo.com,6,1,0,
4592975906087900,JD0J8pxJW,【首例退单代孕女童无法上户！客户代孕退单还需要对女童负责么？】近日，内蒙古通辽3岁退单代孕女童无法上户一事引发热议，据悉，女童生物学父亲已现身，表示愿意协助孩子上户。据悉，2016年吴某为谋钱财接受代孕。不料染上梅毒遭客户退单。吴某拒坚持产下女儿。但在孩子出生前，吴某为钱卖掉了孩子的出生证，致使女儿至今无法上户。那么，客户代孕退单还需要对女童负责么？首例退单代孕女童无法上户！客户代孕退单还需要对女童负责么？,2021-01-13,新版微博 weibo.com,0,2,1,
4592975516011456,JD0IvpdQY,【张伯礼院士开腔】回首抗疫一线的81天，心怀感动与思考张伯礼院士开腔 | 回首抗疫一线的81天，心怀感动与思考 ,2021-01-13,新版微博 weibo.com,0,0,0,
4592974010782907,JD0G53hFx,【别指我！指你咋了？保安被业主指了一下瞬间倒地获赔500】1月12日陕西西安，一业主因出车问题，与小区保安发生冲突。没想到保安瞬间倒地，并发出痛苦的声音。随后保安报警，因男子寻衅滋事保安获赔500元，对此网友吵翻了。实力碰瓷！12日陕西西安一男子出小区时和保安发生口角，保安被手指一下便倒地不起，事后报警保安获赔500元 ,2021-01-13,新版微博 weibo.com,0,1,0,
4592966464963529,JD0tUkPeV,【坐车中被枪杀：中国博士在“美犯罪之都”遇害，背后细节深思恐极】在华盛顿的律师程绍铭认为，无论是范轶然案，还是章莹颖案，牵扯到的不仅仅是法律问题，而是安全常识。数年前的一段细节让程绍铭印象深刻。有一次，他在和客户开会，有个外卖小哥去给他们送餐点，结果沿途碰上3个黑人小孩，发生了口角，竟然被活活打死。坐车中被枪杀：中国博士在“美犯罪之都”遇害，背后细节深思恐极,2021-01-13,新版微博 weibo.com,2,0,1,
