id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4585679012508101,JzWTXawtf,《崩坏3》WeGame版今日上线，PC、安卓双端互通体验，4.5版本直接游玩，《新世纪福音战士》联动活动明日上线！各位WeGame的新舰长，与我们一起开启新的旅程吧！ 《崩坏3》WeGame版上线 完成新手任务得100连抽 ,2020-12-24,微博 weibo.com,251,199,3,
4585618854118176,JzVkVhhkc,12月23日，腾讯WeGame2020年终答谢会在上海正式举行。会上，WeGame回顾了2020年在游戏发行、开发者服务体系等方面的成果，并重磅发布2021年的升级方向与举措，包括未来的平台分成调整、平台测试能力开放以及云游戏支持等内容，并将加大国产游戏扶持并鼓励创新的力度。 WeGame新游千万以内平台0分成 全力扶持国游创新 ,2020-12-24,微博 weibo.com,97,56,3,
4583176854833393,JyTOdkhnX,科幻沙盒建造游戏《戴森球计划》将于2021年1月21日以Early Test的形式上线WeGame！这是一款融合了太空、自动化工厂、冒险、探索等元素的科幻题材模拟经营类游戏，从零开始解锁科技，一步一步打造专属你的戴森球：探索宇宙，发现宇宙珍奇，踏遍星辰大海，架设星际物流系统，串联出庞大的工业帝国。#戴森球计划#,2020-12-17,微博 weibo.com,49,26,6,戴森球计划
