id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4590822354323934,JC6HFi8QS,柯洁斑斑踏足电竞“另有玄机”，全能学霸教你“双线carry” | 2020《竞然如此》第六集围棋世界冠军柯洁如何勇敢破圈前行，为自己创造更多可能前皇室战争职业选手斑斑分享“茫茫学海”双重身份的别样感悟两位“全能学霸”如何看待学业与电竞事业之间的关系？ 在快问快答之间的五子棋对弈，最终谁能守口如瓶，谁又将独占鳌头？点开《竞然如此》第二季第六集，一起观看柯洁斑斑高能对弈，前方核能预警#柯洁谈签约电竞俱乐部# #柯洁 我这辈子是打败不了AI了# #竞然如此# 腾讯电竞的微博视频,2021-01-07,热门游戏 · 视频社区,577,360,483,"柯洁谈签约电竞俱乐部,柯洁 我这辈子是打败不了AI了,竞然如此"
4593030117986472,JD28zxvE4,#DYG晋级冬冠四强##DYG战胜LGD大鹅#恭喜@DYG王者荣耀分部 战胜杭州LGD大鹅，成功挺进2020王者荣耀冬季冠军杯四强到达巅峰之前，必将义往无前继续加油鸭 ,2021-01-13,KPL超话,18,8,1,"DYG晋级冬冠四强,DYG战胜LGD大鹅"
4593014955318474,JD1K7mjzQ,#LNG击败iG#赛后采访@峡谷天天 ：对我来说要放手一搏，我现在年纪也大了，我一定要比年轻选手更加的努力[加油][加油]冷少加油#LNG战胜iG# 腾讯电竞的微博视频 ,2021-01-13,英雄联盟超话,69,32,12,"LNG击败iG,LNG战胜iG"
4593011654139681,JD1ENhmV3,#LNG击败iG# 【LNG 2:0 iG】战场瞬息万变关键时刻牛头绕后开团，纳尔如来神掌一锤定音！LNG团灭iG一波结束了比赛[加油]恭喜LNG 2:0 iG拿下赛季首胜 腾讯电竞的微博视频 ,2021-01-13,英雄联盟超话,74,38,7,LNG击败iG
4593010488125747,JD1CUy5Sr,#LNG iG#【LNG vs iG】龙坑混战，神仙打架两边选手操作拉满，双方打出一波4换4 腾讯电竞的微博视频 ,2021-01-13,英雄联盟超话,37,13,1,LNG iG
4593007473198726,JD1y3dq8m,#LNG iG#【LNG vs iG】劣势情况下，Rookie、Baolan抓住机会大招完美配合，控住4人打赢团战[加油][加油]iG顺势拿下大龙 腾讯电竞的微博视频 ,2021-01-13,iG电子竞技俱乐部超话,31,14,6,LNG iG
4593002569284352,JD1q8CXhC,#LNG iG#恭喜@iG电子竞技俱乐部 达成LPL联赛出场700场成就同时iG也是LPL第一个达成该成就的俱乐部感谢你陪伴LPL一路前行继续加油鸭 ,2021-01-13,iG电子竞技俱乐部超话,137,24,21,LNG iG
4592996878388930,JD1gXzclk,#WE战胜V5#赛后采访 @WEbeishang ：我们在后台有给V5加油，我们互相加油好家伙真就互相奶呗 腾讯电竞的微博视频 ,2021-01-13,英雄联盟超话,32,11,1,WE战胜V5
4592994277658253,JD1cLw8gd,#LNG iG#【LNG 1:0 iG】Light小炮打出爆炸伤害，LNG轻松拿下比赛恭喜LNG先取一分[加油][加油] 腾讯电竞的微博视频 ,2021-01-13,英雄联盟超话,36,11,4,LNG iG
4592994084465311,JD1csiJD9,#WE V5#【WE 2:1 V5】#WE战胜V5# Jiumeng莎弥拉团战斩获三杀，WE三龙会一波结束比赛恭喜WE取得两连胜 腾讯电竞的微博视频 ,2021-01-13,英雄联盟超话,26,10,1,"WE V5,WE战胜V5"
