id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4592911650395107,JCZ3v1EMH,#正鹅八经的讨论区# 2选1，这两个群聊邀请你会同意哪一个？ ,2021-01-13,微博 weibo.com,72,49,1,正鹅八经的讨论区
4592208352641799,JCGL9b5fF,在吗？这个冬天好冷呀，不如我们来养个火花温暖一下吧？#今日秀鹅# ,2021-01-11,微博 weibo.com,108,101,3,今日秀鹅
4591117201312465,JCene5vqN,#那些迷惑的好友验证问题# 来来来，请把你的好友验证答案打在评论区里让鹅笑一笑（盲猜有人忘记了）#正鹅八经的讨论区# ,2021-01-08,微博 weibo.com,78,52,2,"那些迷惑的好友验证问题,正鹅八经的讨论区"
4590477729340285,JBXJODbPL,如果有人不回你消息却在发说说怎么办？试试鹅的高情商回复#高情商vs低情商# ,2021-01-06,iPhone 11 Pro,205,56,15,高情商vs低情商
4589707608722226,JBDHGAB34,#期末# 期末季来了，遗忘草也来了，你们多损呐！（拿图请扣“鹅鹅鹅”） ,2021-01-04,微博 weibo.com,134,88,9,期末
4588247697590398,JB1IZvQBM,#跨年文案# 伤心ing，有人跟鹅说今天不能跨年，因为腿长才能叫跨年？！鹅这种腿短的只能叫……蹦年好吧！在这跨年之际，本“蹦年鹅”祝大家2021蹦蹦跳跳，好运upup！转发里抽一只幸运鹅送出腾讯新年礼盒哦！  抽奖详情 ,2020-12-31,微博 weibo.com,253,187,391,跨年文案
4587802468028971,JAQ8SxGHx,#QQ2020年度00后热词# 新鲜出炉，热词top1竟然是……干饭王？！而你也可能想不到#00后最流行的表白词是吹晚风#吧~年轻人真是越来越难以捉摸了先来评论你觉得必须上榜的热词，再点开视频看看自己答对了几个？ 腾讯QQ的微博视频 ,2020-12-30,微博 weibo.com,125,39,3,"QQ2020年度00后热词,00后最流行的表白词是吹晚风"
4587563240664426,JAJV22MQy,7758258，2020886！鹅这黑话6不6？虽然有点暴露年龄，但这些QQ网事难道不是非常直白又可爱嘛？@腾讯QQ 牵手@T-B-H野兽派家居 联名推出「QQ网事」系列家居单品，可以像换头像一样根据心情换上QQ经典头像枕套，随时穿上“踩踩”拖鞋去空间里踩踩吧……你还能想到哪些QQ网事？关+转，揪1位鹅粉送出随机联名单品一份~ 抽奖详情,2020-12-29,iPhone 11 Pro,38,42,43,
4587456018776088,JAH85AP3O,2020年#QQ年度盘点# 哟哟哟，距离2021年还有3天！鹅抽到了最想要的新年签！来秀一秀你们的新年签，看看有没有更厉害的 ,2020-12-29,iPhone 11 Pro,60,39,2,QQ年度盘点
4587159031395632,JAzp55R4c,#这个礼拜只上四天班# 干啥啥不行，摸鱼第一名？ ,2020-12-28,微博 weibo.com,157,67,1,这个礼拜只上四天班
4585997126337338,JA5b2qAD8,圣诞元旦，都不如鹅的“讯誓旦旦”，不要羡慕别人有圣诞礼物，鹅给你们准备的可是双旦大礼——腾讯QQ X @讯飞AI生活 联名的“讯誓旦旦”礼盒，内含录音笔、阅读器以及QQ牛年公仔！转发并评论你最想录下的祝福，揪1位鹅粉送出“讯誓旦旦”双旦礼盒哦！  抽奖详情 ,2020-12-25,iPhone 11 Pro,215,287,229,
4585348443411959,JzOiMejBB,#侮辱性极强的游戏操作# 伤害性极小，侮辱性极大 ,2020-12-23,微博 weibo.com,253,98,2,侮辱性极强的游戏操作
4584921500753912,JzDca3a7S,#正鹅八经的讨论区# 你们觉得QQ的狗头表情像哪种狗？ ,2020-12-22,微博 weibo.com,620,196,6,正鹅八经的讨论区
4584537621531140,Jztd06qjO,滴！#冬至# 打卡~你们吃什么馅的饺子？ ,2020-12-21,微博 weibo.com,152,78,6,冬至
4582812063123037,JyKjQd6rz,#QQ新势力# 应广大干饭人要求，鹅上线了“干饭中”在线状态，现在又有人喊鹅出“暗恋中”在线状态 这就是你们总嘲笑鹅单身的原因？ ,2020-12-16,微博 weibo.com,3687,311,10,QQ新势力
4582446329501029,JyANWDREp,腾讯QQ看点官方号粉丝破一百万啦，本鹅在微博送上祝福！也不知道啥时候能在微博拥有百万粉丝，打滚ing（疯狂暗示）PS：现在关注腾讯QQ看点有惊喜哦！  腾讯QQ的微博视频 ,2020-12-15,幽默吐槽 · 视频社区,591,115,11,
4582029742840969,JypY2bV45,#这才是干饭人的勺子# 这才是干饭人的QQ在线状态，不知道有没有干饭人安排上这个新状态 ,2020-12-14,,929,131,7,这才是干饭人的勺子
