id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4592250648265558,JCHRmyGfs,投资期限，很重要｜理智青年兴发现投资期限，很重要｜理智青年兴发现 ,2021-01-11,微博 weibo.com,0,0,0,
4591857730591973,JCxDD2tZX,年终奖理财，需要注意啥？ 腾讯理财通的微博视频 ,2021-01-10,微博 weibo.com,0,0,1,
4591856539402626,JCxBHDs3g,手里有了10万块，怎么理财？ 腾讯理财通的微博视频 ,2021-01-10,微博 weibo.com,1,0,1,
4591855994145137,JCxAPhol3,投资理财的三笔钱，到底是什么？ 腾讯理财通的微博视频 ,2021-01-10,微博 weibo.com,0,0,1,
4591855662020922,JCxAi8tJw,年终理财，怎么防雷避坑？ 腾讯理财通的微博视频 ,2021-01-10,微博 weibo.com,0,0,0,
4591854005265164,JCxxCm5I0,1月8日晚，腾讯理财通邀请“力哥理财”力哥、金牌基金观察团做客《一起嗨GO》直播间，一起为你指点年终理财大招。打工人新年特供，年终奖理财防雷避坑指南！ ,2021-01-10,微博 weibo.com,1,0,0,
4591185648419763,JCg9CzkmD,2021年的投资，一方面要做好均衡的配置，另一方面还有一个小技巧就是把基金组合起来一起投。 腾讯理财通的微博视频 ,2021-01-08,微博 weibo.com,1,0,0,
4591185262022664,JCg908ubC,其实爆不爆款不重要，符合自己的投资逻辑才比较重要。 腾讯理财通的微博视频 ,2021-01-08,微博 weibo.com,1,0,0,
4591185014044745,JCg8BgYdP,对于投资者来说，选对板块挺重要。 腾讯理财通的微博视频 ,2021-01-08,微博 weibo.com,1,0,0,
4591183613925727,JCg6lgtgb,不一样的周期 | 理智青年兴不一样的周期 | 理智青年兴发现 ,2021-01-08,微博 weibo.com,0,0,0,
4591183500420037,JCg6a1LgN,1月7日晚，腾讯理财通「理财季」邀请“很帅的投资客”创始人狐狸君、金牌基金观察团做客《一起嗨GO》直播间，一起复盘2020年度投资大事记，拉开年终理财大战序幕。去年你的收益翻倍了吗？ ,2021-01-08,微博 weibo.com,0,0,0,
4591183312196003,JCg5R9dhp,年终奖该如何打理？这几个原则你需要把握！｜投顾念念聊理财年终奖该如何打理？这几个原则你需要把握！｜投顾念念聊理财 ,2021-01-08,微博 weibo.com,0,0,0,
4591183035369091,JCg5pmwKf,钱是赚出来的，也是省出来的，更是精打细算地理出来的！如果你也想get更多理财的知识和技巧，那就赶紧长按下方图片识别二维码，预约今晚的直播吧！2020年教会了我，年终奖要这样花~ ,2021-01-08,微博 weibo.com,0,0,0,
4590818796770822,JC6BVspoO,市场变幻莫测，到底如何把握节奏，择时交易？我们今天请到老朋友摩根资产管理智库的专家，来为大家解析投资大小事，有请～市场变化莫测，如何把握节奏，择时交易？｜投顾念念朋友圈 ,2021-01-07,微博 weibo.com,0,0,0,
4590818658356656,JC6BHz3WM,看完文章不要走开！今晚20:00我们请到了“很帅的投资客”狐狸君，给大家分享他2020年投资的心得和秘诀！赶紧长按下面图片识别二维码，进入直播间围观投资大咖的「收益翻倍」秘诀吧！他去年赚了40%，却说自己还是太保守了！| 2020腾讯理财通用户投资故事 ,2021-01-07,微博 weibo.com,0,0,0,
4590818264357566,JC6B4ihBk,产品，优选有价值 | 理智青年兴发现产品，优选有价值 | 理智青年兴发现 ,2021-01-07,微博 weibo.com,0,0,0,
4590332044384897,JBTWQioI9,巴菲特曾经说过：“通过定期投资指数基金，一个什么都不懂的业余投资往往能够战胜大部分专业投资者。“那些怦然心动的心愿不再遥不可及 | 2020理事会理财通用户故事征集 ,2021-01-06,微博 weibo.com,0,0,0,
4590085423238696,JBNx4dAx2,"不知如何攒钱过大年？年底理财,稳健增值是关键不能为了一点收益铤而走险，也不能为了省事稀里糊涂投钱，必须要明明白白挣钱，稳稳当当前进。#一年之际，理财通理财季#打开微信搜一搜“腾讯理财通”，一起来参加理财季活动！ ",2021-01-05,微博 weibo.com,1,1,1,一年之际，理财通理财季
4590085280374682,JBNwQ1ztg,还在思考如何省时省心赚到钱？不如试试一起投！不必单打独斗、不必亲力亲为专业投顾给你出主意，陪你一路成长～#一年之际，理财通理财季#打开微信搜一搜“腾讯理财通”，一起来参加理财季活动！少为生活发愁，赚钱就要一起投！ ,2021-01-05,微博 weibo.com,2,0,1,一年之际，理财通理财季
4590085082713135,JBNwwbnOf,想要攒钱？还想要消费？把钱放入零钱通，攒起来赚收益，日常消费直接付边花边赚，心里有数！#一年之际，理财通理财季#打开微信搜一搜“腾讯理财通”，一起来参加理财季活动！精打细算地活，攒出我想要的生活！ ,2021-01-05,微博 weibo.com,1,0,0,一年之际，理财通理财季
4589750176719479,JBEOlsc2H,市场，波动但有效 | 理智青年兴发现市场，波动但有效 | 理智青年兴发现 ,2021-01-04,微博 weibo.com,0,0,0,
4589749996362033,JBEO3qH3r,随着2021年的到来，2020年的各项投资成绩也顺势出炉，过去的这一年，市场上各类资产的成绩到底表现如何呢？关注腾讯理财通「理财季」干货满满还有重磅豪礼来袭！2021年的第一个愿望：希望你比去年更有钱 ,2021-01-04,微博 weibo.com,0,0,0,
4589053037780930,JBmFVwEaS,少亏钱，很重要 | 理智青年兴发现少亏钱，很重要 | 理智青年兴发现 ,2021-01-02,微博 weibo.com,1,1,0,
4589052903562916,JBmFIeWSo,2020向所有人出了一道道难题，但有这样一群人稳妥的接住了这些难题，重建了对生活的掌控。这一次有幸邀请到真实故事计划的朋友与我们共同记录了他们的故事。2020出的题太难，但我接住了 | 2020理事会理财通用户故事征集 ,2021-01-02,微博 weibo.com,0,0,0,
4587906351770305,JASQr7qxj,投资，如何穿越时间的长河 | 理智青年兴发现投资，如何穿越时间的长河 | 理智青年兴发现 ,2020-12-30,微博 weibo.com,0,0,0,
4587906025654412,JASPUnIYc,回望2020，期待2021，理好三笔钱，2021不重来！一年之计，理财就上理财通！1月4号给你全新惊喜哦！一年之计在理财，2021不重来｜2020倒带歌单 ,2020-12-30,微博 weibo.com,0,0,0,
4587545574247420,JAJsxhOWM,百位基金经理系列调研报告已连续发布三年，通过一线买方视角为广大投资者提供及时、专业的投资参考。超万亿资金操盘手预测2021：科技、电动汽车和大消费板块受追捧 ,2020-12-29,微博 weibo.com,0,0,0,
4587545030299050,JAJrF1fNo,理财已经渗透到现代人生活的方方面面啦，但生活可以慢，理财需趁早。00后的生活可以慢，但不可以潦草 | 2020理事会理财通用户故事征集 ,2020-12-29,微博 weibo.com,0,0,0,
4587473781130832,JAHAK4Kbe,今年大涨，并不意味着明年也涨…明年还会大涨吗？ | 理智青年兴发现 ,2020-12-29,微博 weibo.com,0,0,0,
4586919109330756,JAta6D9m4,盘点各类资产年度表现 | 理智青年兴发现盘点各类资产年度表现 | 理智青年兴发现 ,2020-12-28,微博 weibo.com,0,1,0,
4586919012600974,JAt9XaUDc,临近年终，不知道大家今年的收成如何，应该不差吧！念念很希望大家的收益至少跟上市场，这要求不算太高。那应该多少呢？止盈操作到底对不对？谈谈何时应该赎回？｜投顾念念聊理财 ,2020-12-28,微博 weibo.com,0,0,0,
