id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4592645928912046,JCS8UBoqG,#2021在看点# 元旦过完啦，今年是谁在身边陪你跨年？看点泛生活派出多位超人气主播，唱歌吹水发红包，让你的小长假不孤单。恭喜@南翔不爱吃饭 @嘴嘴深夜食堂 @昊昊大侦探 @机智的呆狗 四位作者 获得【看点影响力主播】和【看点人气主播】称号。2021年起，看点招募更多泛生活领域新锐主播，为你带来不一样的视听新感受！春节期间来腾讯看点看直播，还有超多公仔和礼品抽奖活动，快来关注吧～戳戳评论区链接，快来关注你喜欢的主播吧！,2021-01-12,微博 weibo.com,10,6,0,2021在看点
4591776528863930,JCvwEBbUC,穿上警服，他们是穿梭在城市里的“超人”；脱下制服，他们是平凡家庭里的一员。首个#中国人民警察节# 里，我们与@中国警察网 携手策划“多面·警察故事”漫画，去看这些中国人民警察的多面人生。在QQ浏览器、腾讯QQ·看点、看点快报搜索「110」，或戳评论区传送门，即可进入专题页面，希望他们的故事被更多人看见。,2021-01-10,微博 weibo.com,4,1,1,中国人民警察节
4591396659660216,JClDXEx3W,少年歌行超话#少年歌行# 策马江湖踏歌行 精彩瞬间找看点@少年歌行官博 正式入驻@腾讯看点来看点一起去见证少年们的江湖梦吧~！ 腾讯看点的微博视频 ,2021-01-09,少年歌行超话,50,14,15,少年歌行
4590347486759428,JBUlKsmr2,#多地街头惊现巨鲲奇观# 究竟发生什么大事了？！以山海经题材为蓝本的#妄想山海# 今天正式上线，超多创新玩法等你来挖掘。@妄想山海 开局一只鲲，进化全靠吞！快来QQ浏览器搜索【妄想山海】，或戳评论区传送门链接，专属好礼享不停！ ,2021-01-06,微博 weibo.com,0,1,0,"多地街头惊现巨鲲奇观,妄想山海"
4590316512352254,JBTxN9RVA,#暖读联盟#1月6日，QQ浏览器上线暖心人物专题，展示22位暖心人物的暖心事迹，致敬平凡力量，点击专题链接，开启暖心之旅~网页链接 ,2021-01-06,微博 weibo.com,0,0,0,暖读联盟
4590074291555352,JBNf76wCk,#丁禹兮国剧盛典专访#来国剧盛典最想见到的前辈是…新角色大揭秘，原来是…对特殊职业的看法，原来小丁心思如此细腻～未来想跳出舒适圈，挑战更多不可能最爱穿的衣服风格是…？觉得近期最时尚的单品竟是…  戳专访一起欣赏@丁禹兮 的360度无死角美颜2021心情upup🤗  腾讯看点的微博视频,2021-01-05,微博视频,56,19,9,丁禹兮国剧盛典专访
4588157288586041,JAZnaA1Cx,2021年马上就要到了，你#新年的第一个愿望#是什么？ 响应#电影许愿神龙# 的呼唤，看点菌也来为大家送上幸运礼物啦！转发本条微博，对神龙说出你的新年愿望，1月5日我们将抽取5位幸运的小伙伴，每人送出两张许愿神龙的全国通兑影票哦！ @电影许愿神龙  抽奖详情 ,2020-12-31,微博 weibo.com,17,51,137,"新年的第一个愿望,电影许愿神龙"
4585250639839486,JzLL1FhHo,12月23日，@半岛都市报 、@长春晚报 、@大河报 、@杭州日报 、@海峡都市报 、@河北日报 、@江南都市报 、@南国都市报 、@南国早报 、@云南广播电视台 、@羊城晚报 11家主流媒体加入“暖读”联盟。一起聚焦平凡人的暖心瞬间，传递社会正能量，希望这些不经意的感动成为更多人生活中的良药 ,2020-12-23,微博 weibo.com,0,0,0,
4584963633324169,JzEi7dWLD,Hi，《你的QQ看点2020年度报告》在这里，QQ看点oooooooh！创意工作室在2020岁末为大家准备的礼物，不仅能看到2020这一年，你在QQ看点的足迹，还有你的人生数据报告哦。2020最美最特别的年度报告，专属于你，打开QQ看点搜索“最美人生报告“，立即获取！ ,2020-12-22,微博 weibo.com,4,0,1,
4584630923565230,JzvDueXtI,今天#冬至#  ，在这黑夜最为漫长的一天里，看点菌找来各地看点创作者，带你去看他们家乡的冬至美食，与你一起过冬至！今天你会吃些什么，等待着白昼渐长的明天呢？ #冬至吃啥# 在@QQ浏览器 搜索「冬至」，或点击评论区传送门，感受更多不一样的冬至瞬间。  腾讯看点的微博视频 ,2020-12-21,微博视频,1,1,0,"冬至,冬至吃啥"
