id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4592824433254619,JCWMPdEFR,#蔡文静阳光之下#【一线丨专访@蔡文静 ：拍《阳光之下》让@彭冠英 重重打我，越狠越为我好】正在芒果TV热播的电视剧《阳光之下》，播出后引发不少热议。剧中，蔡文静扮演的女主角柯滢被认为是史上最“美强惨”女主，全剧不是在被虐，就是在反虐的路上。从剧情开始就碰到了人生最大灾难——彭冠英扮演的封潇声，从而开始了一段斗争之路。蔡文静接受《一线》独家专访，她直言这是自己出道以来演过身心最疲惫的一部戏，“从没有被薅这么多次头发，被掐那么多次脖子。”并透露，打都是真打，一开始彭冠英怕下手太重，倒是她坚持真打才够真实，于是过程中大家看到的都是真实的“对抗”。针对柯滢到底爱不爱封潇声，网友们展开热议。对此，蔡文静实锤称，“一点点也没有，因为他们站的是不同的道。”封潇声与《废后将军》的慕容炎、《东宫》的李承鄞并称为“b站言情界三巨头”，但蔡文静表示，现实中也绝对不会爱上他，“虽然咱们常常说虐恋，那好歹是恋，不是要命。没有流血受伤，也没被薅头发吧。反正我不会，本来我头发就不多，我不会接受一个整天薅我头发、掐我脖子的男人，更何况他还是犯罪的。”专访全文：一线丨专访蔡文静：拍《阳光之下》让彭冠英重重打我，越狠越为我好,2021-01-13,蔡文静超话,2678,354,69,蔡文静阳光之下
4592523634281619,JCOXFhXQn,#风雪无阻大片# #周深风雪无阻# 来自最受欢迎男歌手的小窍门：起风的时候，45度角昂首迎着风唱，就能把歌声传进更多耳朵。希望未来@卡布叻_周深 前路是坦途，远方是赞歌。 #腾讯娱乐年度盛典# ,2021-01-12,周深超话,39057,2912,6354,"风雪无阻大片,周深风雪无阻,腾讯娱乐年度盛典"
4592523550401571,JCOXx1GsX,#风雪无阻大片# #张云雷风雪无阻#  29岁的辫儿哥解锁新绝技——握冰尝胆，冰化了再一起探清水河吧。风雪从来无法阻止一个勇于成长的好学者，希望2021@小辫儿张云雷 继续用看家手艺弘扬传统文化，努力与实力被更多人看见。#腾讯娱乐年度盛典# ,2021-01-12,张云雷超话,21029,3259,5407,"风雪无阻大片,张云雷风雪无阻,腾讯娱乐年度盛典"
4592523433482186,JCOXleBSi,#风雪无阻大片# #张译风雪无阻#  过去的2020年里，他是《八佰》里的老算盘，是《我和我的家乡》里的姜前方，是《金刚川》里的张飞，是《一秒钟》里的张九声。他是年度“劳模”，更是品质保证。2021，祝愿@张译 风雪无阻，一路向前。#腾讯娱乐年度盛典# ,2021-01-12,张译超话,277,93,107,"风雪无阻大片,张译风雪无阻,腾讯娱乐年度盛典"
4592523261518448,JCOX46n16,#风雪无阻大片# #硬糖少女303风雪无阻# 从百人舞台血拼出自己的星光大道，从青涩少女成长为耀眼的舞台新星。风雪在前，《硬糖定律》强势出击，少女用坚定的心志向众人宣告理想誓言。希望2021年@硬糖少女303 继续闪耀，发散光芒。#腾讯娱乐年度盛典# ,2021-01-12,硬糖少女303超话,24610,766,407,"风雪无阻大片,硬糖少女303风雪无阻,腾讯娱乐年度盛典"
4592523119172943,JCOWPCuiH,#风雪无阻大片#  #郁可唯风雪无阻# 品质歌姬是她，魅力浪姐也是她，多年来歌声与实力都是她立足的底气。2020，@郁可唯 不断突破自己，收获了更多的认可。愿2021步履不停，用作品继续乘风破浪。#腾讯娱乐年度盛典# ,2021-01-12,郁可唯超话,1677,236,213,"风雪无阻大片,郁可唯风雪无阻,腾讯娱乐年度盛典"
4592522665402668,JCOW6mFtO,#风雪无阻大片# #杨幂风雪无阻# 冰雪佳人抬眸一刻，仍是女王风范，2020商业代言、综艺影视不断，话题流量齐飞，信念感坚韧，步伐从不停止，期待@杨幂 在2021拥有更多可能！ #腾讯娱乐年度盛典# ,2021-01-12,杨幂超话,5932,830,2711,"风雪无阻大片,杨幂风雪无阻,腾讯娱乐年度盛典"
4592522561068326,JCOVW4tV4,#风雪无阻大片#  #杨笠风雪无阻#当脱口秀的风雪猛烈来袭，@-杨笠- 用锐利视角大杀四方，立于不败。希望未来能在脱口秀的世界里继续肆意写段子，真实做自己。#腾讯娱乐年度盛典# ,2021-01-12,杨笠超话,28,4,0,"风雪无阻大片,杨笠风雪无阻,腾讯娱乐年度盛典"
4592522469056231,JCOVMBZWf,#风雪无阻大片#  #闫妮风雪无阻# @素描闫妮 姐姐的花路铺满白玉兰的沁香，她说自己没什么座右铭，就是“妹妹你大胆地往前走”。向潇洒的姐姐送上我们的敬意。风雪无阻，步履未停，一起走向2021，期待闫妮的更多精彩角色！#腾讯娱乐年度盛典# ,2021-01-12,闫妮超话,23,4,2,"风雪无阻大片,闫妮风雪无阻,腾讯娱乐年度盛典"
4592522330374146,JCOVz1zkC,#风雪无阻大片#  #薇娅风雪无阻#电商一姐是她，公益领头人也是她。可信坚守是她的代名词，扶贫攻坚是她付出的方向。2020到2021，@薇娅viyaaa 用自己的流量创造无限的正面价值，愿她秉持初心，依旧红红火火。#腾讯娱乐年度盛典# ,2021-01-12,薇娅超话,441,261,156,"风雪无阻大片,薇娅风雪无阻,腾讯娱乐年度盛典"
4592522138223175,JCOVfyvdR,#风雪无阻大片#  #王凯风雪无阻#  从《清平乐》《猎狐》到《大江大河》，@王凯kkw 是2020年电视剧的品质保证。2020步履未停，2021风雪无阻，期待他的更多优秀作品！#腾讯娱乐年度盛典# ,2021-01-12,王凯超话,2663,614,709,"风雪无阻大片,王凯风雪无阻,腾讯娱乐年度盛典"
