id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4588283001312953,JB2DW5vyF,#2020腾讯视频电影年终大赏# 注定不平凡的2020，让我们用影像记录！解说、脑洞、混剪三大投稿赛道任你选择，各位剪辑大大们快来秀出你的真本事！与发起人@发条张的野馄饨摊儿 、@青红造了个白 、@百万剪辑狮 一起，留下你最特别的电影回忆。你的珍贵回忆，我们通通都收集，更有6万奖金等你瓜分，快来参加吧！戳链接进入投稿通道：网页链接,2020-12-31,iPhone客户端,20,25,8,2020腾讯视频电影年终大赏
4593041970834038,JD2rH3uYe,#鹅叔原声带# “While the memory of it fades ”——#这个杀手不太冷# 片尾曲《Shape Of My Heart》 《Shape Of My Heart》 (电影 这个杀手不太冷 片尾曲 中英字幕) ,2021-01-13,微博 weibo.com,6,2,2,"鹅叔原声带,这个杀手不太冷"
4593026871080458,JD23l4x4K,#动画短片# 再冷酷的人也会被爱治愈~奥斯卡最佳动画短片《bilby》给你勇敢❤️的力量！奥斯卡最佳动画短片提名：唯有爱，可治愈冷酷 ,2021-01-13,微博 weibo.com,3,2,1,动画短片
4593011776297250,JD1EZqqcy,#鹅叔夜侃# 你每天都有哪些突如其来的感悟？ ,2021-01-13,微博 weibo.com,166,56,0,鹅叔夜侃
4592965496082906,JD0slpwro,#群星发起武汉日夜公益观影# 武汉的日夜，是中国人共同的记忆，平凡的你我，皆是这场故事的主角。@吴磊LEO 真诚推荐纪录电影《武汉日夜》：“《武汉日夜》用镜头记录了2020年这场巨大的考验，也记录了在这场考验中那些义无反顾的身影和温暖无私的奉献。”#电影武汉日夜#1月22日全国公映，走进影院重温温暖，真情告白“有你真好”。 腾讯电影的微博视频,2021-01-13,吴磊超话,276,32,80,"群星发起武汉日夜公益观影,电影武汉日夜"
4592963583487422,JD0pgeDeK,#鹅叔唠电影# 盘点2020最赚钱电影！#电影急先锋#、#电影如果声音不记得# 皆上榜，这些电影靠什么突出重围呢？戳！（cr：@享看电影解说 ）《八佰》赚了10个亿，成年度票房冠军，盘点2020最赚钱电影 ,2021-01-13,腾讯电影超话,1,2,1,"鹅叔唠电影,电影急先锋,电影如果声音不记得"
4592941648317690,JCZPSyTOi,#断桥剧情曝光# @TFBOYS-王俊凯 将出演#电影断桥#“孟超”一角，还有待映作品#电影1921#、#电影749局# 、#电影731# ，你最期待演员王俊凯的哪一部电影？ ,2021-01-13,王俊凯超话,4324,228,2431,"断桥剧情曝光,电影断桥,电影1921,电影749局,电影731"
4592939017438373,JCZLDvd3L,#电影断桥# 由李玉导演，@马思纯 @TFBOYS-王俊凯 @范伟 等主演的#电影断桥# 在豆瓣等多个平台更新信息，更新了剧情简介。官博已开通，坐等官宣！ ,2021-01-13,腾讯电影超话,1734,95,1322,"电影断桥,电影断桥"
4592935176245183,JCZFrqcEL,#徐峥 武汉日夜应该给美国人看看# 电影#武汉日夜#发布徐峥推荐特辑。@徐峥 观影时潸然泪下，表示“看这个纪录片正常人都会流眼泪”。他特别提出，这部影片应该在全世界公映，让美国人民好好看看。“你可以看到中国人有多么的不容易，中国人有多么的坚强，他们是有多么的尊重生命，他们之间中国式的善良和慈悲心，可以让很多外国人更了解中国人是什么样的，我们是怎么挺过来的”。真实是最好的力量，这段故事值得被全世界铭记。#电影武汉日夜# 将于1月22日全国公映。 腾讯电影的微博视频,2021-01-13,腾讯电影超话,5,0,0,"徐峥 武汉日夜应该给美国人看看,武汉日夜,电影武汉日夜"
4592934098569897,JCZDHzXq9,#鹅叔唠电影# 美国鬼才导演昆汀·塔伦蒂诺 与小李子#莱昂纳多·迪卡普里奥# 强强合作的影片#被解放的姜戈#，想要了解美国南北战争史或者喜欢暴力美学的，快戳！这部电影肯定不会让你失望~（cr：@老烟斗鬼故事 ）豆瓣8.7，这部罕见引进的R级电影，上映1分钟就被紧急叫停 ,2021-01-13,腾讯电影超话,2,1,1,"鹅叔唠电影,莱昂纳多·迪卡普里奥,被解放的姜戈"
4592919367385114,JCZfWuZcK,#电影武动乾坤#叮咚！小鹅来准时报时啦~距离1月15日《武动乾坤：九重符塔》电影上线还有2天！血衣门帮主魏通@王寒阳 携符文锁链前来邀约，造化之境是否迈过，等你来揭秘~#武动乾坤# @霍穗强Chris @W王珞嘉 @夏茉GiGi @黎真安 @王寒阳 @李觅尔Marina @张亚奇Tempo @张语宸Vicky @周卓sunny @电影武动乾坤 腾讯电影的微博视频,2021-01-13,腾讯电影超话,5,1,1,"电影武动乾坤,武动乾坤"
4592906281684295,JCYUQ74a3,#鹅来舔屏了# #李冰冰赛博朋克大片#@李冰冰 X《时尚先生》开年封大片，眼神坚毅，很是酷飒！大片暗黑风格，张力十足，还将花瓣、海水、自行车等环保元素与时尚融合，创意满分！#李冰冰环保大片#  ,2021-01-13,李冰冰超话,207,103,216,"鹅来舔屏了,李冰冰赛博朋克大片,李冰冰环保大片"
4592886496103215,JCYoVpBIX,#二宫和也当爸# 据日媒，Arashi嵐成员#二宫和也#的妻子伊藤绫子已怀孕，Nino要当爸爸啦，恭喜 ！！ ,2021-01-13,二宫和也超话,11,1,5,"二宫和也当爸,二宫和也"
4592883946491870,JCYkOrePA,#指环王剧集剧情梗概#《指环王》剧集概述首度曝光！期待Amazon释出一张地图，暗示该剧将设定在第二纪元，发生在电影版#霍比特人#和#指环王#之前的几千年，将观众带回强大法力成型的时代，王国辉煌崛起又陨落成尘，让人意想不到的英雄经历考验，希望悬在一线，而托尔金笔下最强大的反派威胁着要将黑暗覆盖天下。,2021-01-13,腾讯电影超话,7,2,0,"指环王剧集剧情梗概,霍比特人,指环王"
4592874371159325,JCY5n4RAN,#电影武动乾坤#小鹅有份好礼送上！铛铛档！2分钟无门槛观影《武动乾坤：九重符塔》！前情回顾电影精彩剧情，让你一次看个够！收下这份礼，让你1月15日的观影更嗨皮！炎城新手速来进城@腾讯视频 等你~#武动乾坤# @霍穗强Chris @W王珞嘉 @夏茉GiGi @黎真安 @王寒阳 @李觅尔Marina @张亚奇Tempo @张语宸Vicky @周卓sunny @电影武动乾坤 2分钟无门槛观影《武动乾坤：九重符塔》 看青阳小伙林动续写逆袭人生,2021-01-13,腾讯电影超话,1,1,1,"电影武动乾坤,武动乾坤"
4592869774197104,JCXXXhBRe,#鹅叔唠电影#  #神奇女侠1984报名多个奥斯卡奖#，包括：最佳影片、最佳女主、最佳剧本等奖项。票房口碑都很一般的#神奇女侠1984# 还有拍续集的计划，本鹅疑惑了！影片到底有什么魅力？戳（cr ：@不洁看看 ）口碑票房均不及《正义联盟》，为何《神女1984》可以有续集？ ,2021-01-13,腾讯电影超话,1,2,1,"鹅叔唠电影,神奇女侠1984报名多个奥斯卡奖,神奇女侠1984"
4592855135302066,JCXAlmfjc,#Netflix今年新片前瞻# 快来解锁这份重磅片单！除了#小李子大表姐新片#《不要抬头》、还有#巨石强森#主演的《红色通缉令》、#克里斯·海姆斯沃斯# 主演的《逃离蜘蛛头》等等新片砸过来~真真全明星阵容，大牌云集！实在是，来说说你最期待的一部是？ 腾讯电影的微博视频 ,2021-01-13,腾讯电影超话,1,0,1,"Netflix今年新片前瞻,小李子大表姐新片,巨石强森,克里斯·海姆斯沃斯"
4592839507841814,JCXb8wU0S,#小李子大表姐新片先导预告# #莱昂纳多·迪卡普里奥#和#詹妮弗·劳伦斯#主演的新片《别往天上看》发布先导预告，该片大牌云集！还有罗布·摩根、凯特·布兰切特、梅丽尔·斯特里普、乔纳·希尔、提莫西·查拉梅、克里斯·埃文斯等出演。今年将会上线，先马住啦！ 腾讯电影的微博视频 ,2021-01-13,腾讯电影超话,2,2,0,"小李子大表姐新片先导预告,莱昂纳多·迪卡普里奥,詹妮弗·劳伦斯"
4592839008717446,JCXakAzNY,#无依之地预告# 赵婷执导新片#无依之地#发布国际版预告。目前该影片已获得尼斯电影节金狮奖、哥谭独立电影奖最佳影片等多个国际奖项，也是奥斯卡大热影片！影片将于2月19日北美影院正式公映，3月19日英国上映，坐等内地引进消息哇~ 腾讯电影的微博视频 ,2021-01-13,腾讯电影超话,3,0,0,"无依之地预告,无依之地"
4592815478150815,JCWynycoL,#鹅叔说早安# “我们永远都不要忘记爱过的人”——《忠犬八公》 今日开启感动模式~早安~ ,2021-01-13,微博 weibo.com,15,18,3,鹅叔说早安
4592679584017784,JCT1cgRcY,#鹅叔原声带# “Blessed be the mystery of love ”——#请以你的名字呼唤我原声#插曲《Mystery Of Love》~晚安请以你的名字呼唤我原声《Mystery Of Love》 ,2021-01-12,微博 weibo.com,26,11,1,"鹅叔原声带,请以你的名字呼唤我原声"
4592664487921667,JCSCQxeMP,#动画短片# 母亲的体贴总是细微至极。暖心短片《妈妈的晚餐》戳：暖心动画短片《妈妈的晚餐》，有没戳中你的泪点? ,2021-01-12,微博 weibo.com,3,0,3,动画短片
4592649447153500,JCSeAu0X2,#鹅叔夜侃# 给鹅分享一下，你被爱豆治愈的幸福瞬间？ ,2021-01-12,iPhone客户端,325,124,0,鹅叔夜侃
4592628768968756,JCRHeBDbm,#鹅叔唠电影# 漫威中的超级英雄，谁的战斗力是NO.1 ？谁的战斗指数可以秒杀灭霸？！难道你不好奇（cr：@未来电影局 ） 漫威十大超级英雄战力排行，惊奇队长只排第四，前三碾压灭霸！ ,2021-01-12,iPhone客户端,2,1,1,鹅叔唠电影
4592611137167537,JCReNu4Br,"#杨幂行走的饭圈百科#《刺杀小说家》茶话会上，@杨幂 化身饭圈小百科，在线给@于和伟 科普CP，还详加解释什么是”团粉“、""CP粉“。而一旁的@雷佳音 、@董冬咚d 也是十分捧场，现场演绎了起来。这个剧组太有梗啦~ #刺杀小说家全员磕CP# 腾讯电影的微博视频 ",2021-01-12,杨幂超话,17,3,2,"杨幂行走的饭圈百科,刺杀小说家全员磕CP"
4592595093425510,JCQOVen8a,#鹅来舔屏了# 听说叫詹妮弗的都是美人！詹妮弗·康纳利、#詹妮弗·安妮斯顿# 、#詹妮弗·劳伦斯# ......你最爱哪位？ 腾讯电影的微博视频 ,2021-01-12,腾讯电影超话,6,1,2,"鹅来舔屏了,詹妮弗·安妮斯顿,詹妮弗·劳伦斯"
