id,bid,正文,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4592931400321346,JCZzm1lB0,#腾讯视频首届造物节# 携手@时尚健康，一起新春倒计时，各类大牌健康好物爆款直降，想置办年货的你，千万不要错过，1月13日17:00-19:00，腾讯视频搜索“时尚健康”账号，进入直播间，更多优惠价格等你来>>网页链接 ,,,2021-01-13,微博 weibo.com,0,0,0,腾讯视频首届造物节,时尚健康
4592875892909159,JCY7PccNV,#腾讯视频首届造物节# @腾讯视频 携手@时尚健康，特约今晚#我的小确幸开播# 的“健康星推官“演员@邢菲_，为你盘点”大健康“关键词，更有超多健康生活好物等你来发现，1月13日17:00-19:00，腾讯视频直播间，更多惊喜等着你>>网页链接 ,,,2021-01-13,微博 weibo.com,3,0,0,"腾讯视频首届造物节,我的小确幸开播","腾讯视频,时尚健康,邢菲_"
4592845681856222,JCXl67MT4,#腾讯视频首届造物节# 共赏年味，团圆过年！年货美食专场来啦！美食达人小张张带来爆款美食，大牌零食2.9元起秒杀，红颜奶油草莓、中粮提拉米苏等年货美食爆款直降，惊喜不断>>网页链接 ,,,2021-01-13,微博 weibo.com,0,0,0,腾讯视频首届造物节,
4591096087190510,JCdPauazY,"#倍儿想吃·暖冬赏味#在冷冬里，怎少得了热气腾腾的火锅呢？来自中国香港的拥有20余年烹饪经验的蔡佳俊师傅为您现场带来沙姜啫啫龙趸鱼煲的制作，让我们一边享用火锅一边享用“美食文化大餐”！1月8日15：00 腾讯美食联合@味觉大师IP , 这次，我们将来到表哥香港海鲜火锅为您现场揭晓>>网页链接 ",,,2021-01-08,iPhone客户端,0,1,1,倍儿想吃·暖冬赏味,
4588243905415255,JB1CSmIKP,#解码欧洲美食# - Taste Europe，带大家体验舌尖上的欧洲：美食第四站——西班牙！烤鸭面卷、瓦伦西亚田园“煲仔饭”，搭配橄榄油香煎中国海鲜酱鳕鱼，还有著名的西班牙火腿和小吃tapas，我们在活色生香、充满烟火气的西班牙菜市场，边逛边吃将西班牙美食一网打尽，共迎2021！美食第四站：西班牙。边吃边逛，西班牙菜市场的一场美食盛宴！#解码欧洲美食# #美食高光时刻# ,,,2020-12-31,iPhone客户端,0,0,0,解码欧洲美食,
4587787192369951,JAPKf9Wx1,从拿到手中的一包包中药到可以服用的汤剂，整个过程中煎煮就是最为关键的步骤。看着简单的事儿其实学问多着呢！煎药工具该怎么选？煎药前，中药材是否需清洗、浸泡？服药期间，有哪些饮食禁忌？ 12月30日中午12:30来@腾讯视频 北京中医医院科普直播间，药学部吴剑坤主任在线带您现场熬中药，为您解答中药煎煮的困惑>>网页链接,,,2020-12-30,iPhone客户端,0,0,0,,腾讯视频
4586794374660653,JApUVjyrP,2020年的最后一杯奶茶在@腾讯美食 开Party烤奶皮➕鲜乳茶 新年一起牛起来！网页链接 ,,,2020-12-27,iPhone客户端,1,0,0,,腾讯美食
4583439334901732,Jz0Dzkzac,"#倍儿想吃·暖冬赏味# 想不想尝尝脆皮黑松露金猪与鸡汤堂灼东星斑？来自广东的柯师傅甄选时令食材，遵循古法炮制，精心打造独具匠心的全新美味，想知道柯师傅以怎样的方式去进行烹饪吗？12月18日15：00 腾讯美食联合@味觉大师IP, 我们将在北京望京凯悦酒店藏悦中餐厅为您现场揭晓>>网页链接 ",,,2020-12-18,微博 weibo.com,1,0,2,倍儿想吃·暖冬赏味,味觉大师IP
