id,bid,正文,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4592895112517594,JCYCPayWm,威金斯指甲盖盖帽能盖得到就绝不多跳一厘米  腾讯NBA的微博视频 ,,,2021-01-13,微博视频,12,1,0,,
4592879651783729,JCYdT7u1P,"哈登：我爱休斯顿，能做的我都做了。但我们之间的关系已经不可修复了。原文： ""just not good enough ... I love this city. I literally have done everything that I can. I mean, this situation is crazy. It’s something that I don’t think can be fixed."" ",,,2021-01-13,微博 weibo.com,39,15,2,,
4592857736550342,JCXExru2G,杜兰特三分球杀死比赛  腾讯NBA的微博视频 ,,,2021-01-13,微博视频,22,3,1,,
4592849406134375,JCXr6pJPx,詹姆斯三分投完霸气转身！就是这么自信  腾讯NBA的微博视频 ,,,2021-01-13,微博视频,27,4,2,,
4592831148333352,JCWXEyXSU,杜兰特突破暴扣！这是几成杜？  腾讯NBA的微博视频 ,,,2021-01-13,微博视频,10,1,1,,
4592818142841003,JCWCGbV4D,明天爵士对阵奇才的比赛将推迟 ,,,2021-01-13,微博 weibo.com,4,0,0,,
4592490868383637,JCO6OzaXX,爆冷！奇才128-107掀翻太阳。。韦少因伤缺阵，布莱恩特赛季报销这是缺谁？谁尴尬？空中舞蹈艺术家！比尔闪转腾挪躲开封盖拉杆上篮 ,,,2021-01-12,微博 weibo.com,9,4,0,,
4592469554235258,JCNyrhLMC,白人也能飞！最强白人海沃德这赛季有点那个味儿了白人也能飞！海沃德双手滑翔隔扣诺埃尔还要加罚 ,,,2021-01-12,微博 weibo.com,9,6,0,,
4592466348746566,JCNtgAHnE,塔图姆和东契奇分别当选NBA上周东西部周最佳球员！塔图姆上周场均33分5.3篮板2.7助攻，凯尔特人3胜0负；东契奇上周场均30.3分12篮板11.3助攻，独行侠3胜0负。NBA公布上周东西部最佳球员 塔图姆与东契奇分别当选 ,,,2021-01-12,微博 weibo.com,7,1,1,,
4592445825745095,JCMWao6yP,凯尔特人与公牛和独行侠与鹈鹕的比赛将被延期推迟。 ,,,2021-01-12,微博 weibo.com,6,0,1,,
4592153273041981,JCFkjcLmd,西亚卡姆翻身后仰弹框而出错失绝杀，勇士106-105猛龙，惊险拿下本场比赛获得两连胜。此役库里16投2中手感不佳拿下11分9篮板6助攻，维金斯17分2篮板4助攻；西亚卡姆25分11篮板3助攻，范弗利特和洛瑞分别砍下21分和17分。#金州勇士# #多伦多猛龙# ,,,2021-01-11,微博 weibo.com,10,2,0,"金州勇士,多伦多猛龙",
4592147343607255,JCFaKf8px,讲个事儿，乌布雷比库里先进了三分#库里# #乌布雷# ,,,2021-01-11,微博 weibo.com,3,0,0,"库里,乌布雷",
4592139206656549,JCEXCrVFH,库里目前12中1，三分8中0#库里# #猛龙vs勇士# ,,,2021-01-11,微博 weibo.com,14,12,1,"库里,猛龙vs勇士",
4592137523959612,JCEUUgC4I,哈登这个造犯规就有点不讲武德了詹姆斯：裁判他扒拉我！#詹姆斯哈登# ,,,2021-01-11,微博 weibo.com,29,14,3,詹姆斯哈登,
4592131921156653,JCELS4QTH,全场比赛结束！湖人客场120－102拿下火箭！#休斯顿火箭# #洛杉矶湖人# ,,,2021-01-11,微博 weibo.com,14,6,0,"休斯顿火箭,洛杉矶湖人",
4592129371019810,JCEHL4hiy,沃尔一回合内惨遭三次盖帽#休斯顿火箭# #沃尔#  腾讯NBA的微博视频 ,,,2021-01-11,微博视频,8,4,0,"休斯顿火箭,沃尔",
4592115596400778,JCElxqR8m,火气有些大？ 考辛斯防守中重击詹姆斯头部被吹二级恶意犯规，驱逐出场。#考辛斯被驱逐#  腾讯NBA的微博视频 ,,,2021-01-11,微博视频,13,12,1,考辛斯被驱逐,
4591580688949617,JCqqMBycF,真是超级高水平！库里发飙逆袭快船助湖人登顶 欧文失联缺赛竟躲过一劫 @绘说篮球 小学生发飙逆袭快船！助湖人重回第一！最骚的依然是文文 ,,,2021-01-09,微博 weibo.com,24,2,4,,绘说篮球
4591524282639620,JCoXOb4Gw,1月10日 19:00腾讯体育节目《懂球会议》，本周两位球员砍下60+，我们这周一起来盘点下NBA历史上疯狂的个人得分纪录；开赛两周，老师们还会预测本赛季的黑马球队，千万别错过！ ,,,2021-01-09,微博 weibo.com,5,0,0,,
