id,bid,正文,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4592992750417178,JD1aj1KwG,#高情商的聊天技巧#当小宝在苦恼没人下载APP时，低情商回复：你过气了；高情商回复：我现在去下！你懂我意思吧~情商这门玄学，最近引发了大量讨论，不可否认的是，高情商总能很巧妙地化解矛盾。新的一年，想要变成更好的自己吗？小宝最新发现了一个超好用APP，带你练就好口才，详情戳图↓↓↓ ,,,2021-01-13,微博 weibo.com,26,9,15,高情商的聊天技巧,
4592954893145700,JD0bfdcl6,#我国疫情呈现多地局部暴发和零星散发#目前已有29个省区市倡议就地过年，今年过年能否顺利回家，成为了无数“打工人”的担忧。小宝有神器要介绍给大家，可以帮你及时了解各地政策！@本地宝：打开APP，点击隔离政策，然后选择出发城市和到达城市，即可知道是否要隔离~快拿起手机下载吧，为自己的出行添一份安心！温馨小提示：隔离政策每天都不一样，建议出行前可以向目的地的疫情防控中心打电话再确认一下哦~,,,2021-01-13,微博 weibo.com,207,15,15,我国疫情呈现多地局部暴发和零星散发,本地宝
4592622671498934,JCRxp6hWm,蹲到了蹲到了！#王者荣耀破晓版本#将在周四（1月14日）开启！这波可是重磅版本，小宝期待好久了！亮点满满，小宝先来剧透一下：黑科技加持，界面更精致，游戏体验更爽快！亚瑟、元歌、狄仁杰等喜提新衣，新年换新装！还有超级福利来袭，不夜长安回城特效、阿离主页装饰等你来获取，详情戳图看看啦↓↓↓,,,2021-01-12,微博 weibo.com,60,29,27,王者荣耀破晓版本,
4592510775073040,JCOCVlhJe,#车厘子大量到货#据说今年的车厘子比往年的价格都便宜很多，难道这么快我们就要实现车厘子自由了吗~不过天气这么冷不想出去，那就来线上看看，让你足不出户就能实现车厘子自由！@每日优鲜官方微博：手机里的生鲜超市，应季水果，肉蛋蔬菜，鲜活水产应有尽有，最快30分钟送达！还支持全国配送，最快次日就送达！想吃车厘子手机下单就可以！@朴朴超市：移动端一站式购物平台，商品种类多样齐全，想要什么一搜就能有。每天都有超值券领，让价格在优惠的基础上更优惠~快来这些APP搜一搜，先来它个2斤车厘子尝尝鲜！,,,2021-01-12,微博 weibo.com,37,21,15,车厘子大量到货,"每日优鲜官方微博,朴朴超市"
4590444857539490,JBWSNvDmG,国民魔幻打宝手游《荣耀大天使》1月6日强势来袭！三职一体多元化设定，一人同时掌控多种职业，丰富天赋随心搭配，酷炫造型自由变装，各种趣味玩法内容逐一登场！快来应用宝下载《荣耀大天使》，和小宝一起见证这个史诗般的魔幻世界降临吧~ ,,,2021-01-06,微博 weibo.com,39,17,15,,
4588362260808141,JB4HM3oex,#2021#，陪你继续精彩！#新年快乐# ,,,2021-01-01,2021超话,72,61,3,"2021,新年快乐",
4586020957596042,JA5NtvS4O,【小宝送福利】#使命召唤手游正式上线#  啦！使命正在召唤，你们准备好了吗？快来应用宝下载，享专属福利！关注带话题#上应用宝，使命集结#转评此博，小宝将在1月4日抽10名粉丝平分【1200Q币游戏基金】！戳评论区还有更多礼品等你拿喔~  抽奖详情 ,,,2020-12-25,微博 weibo.com,1386,757,3125,"使命召唤手游正式上线,上应用宝，使命集结",
4585361777623759,JzOEhvZhR,《太古神王2》今日震撼上线，品质升级，时停大招炫酷斗战！即日起上应用宝评论《太古神王2》，分享你的游戏体验和建议，就有机会被我们翻牌回复，获得超级大礼~带话题#上应用宝评论，让官方看到你#转评留下你的游戏体验，小宝将抽取3位粉丝送出【88元游戏礼包】，2位粉丝送出【30元京东卡】！  抽奖详情,,,2020-12-23,微博 weibo.com,117,43,117,上应用宝评论，让官方看到你,
4583179069691682,JyTRMEFfs,《远征2》今日震撼上线，战略级跨世代国战手游，让你战个痛快！即日起上应用宝评论《远征2》，分享你的游戏体验和建议，就有机会被我们翻牌回复，获得超级大礼~带话题#上应用宝评论，让官方看到你#转评留下你的游戏心得，小宝抽2位粉丝送【《远征2》定制抱枕】，2位粉丝送【《远征2》定制鼠标垫】！  抽奖详情,,,2020-12-17,微博 weibo.com,159,69,60,上应用宝评论，让官方看到你,
