id,bid,正文,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4592211628919378,JCGQqBqkW,新的一年，我们对于中国球员、中国职业联赛、中国国家队有许许多多的期待。2021年的一期节目，《鹅鹅鹅会客厅》迎来了新朋友@骆明微博 和老朋友@孙雷没有红 。大家一起用凡尔赛的手法解读了国足出线形势，针对中超俱乐部中性名各抒己见，当然也少不了共话年度盛典#中国金球奖#。@足球周刊 @体坛周报 看节目>>国足冲击世界杯也能凡尔赛？中超职业化≠粗暴改队名,,,2021-01-11,微博 weibo.com,10,0,1,中国金球奖,"骆明微博,孙雷没有红,足球周刊,体坛周报"
4592961927250756,JD0mAuqfG,如何比较车范根、朴智星和孙兴慜，韩国JTBC《news room》朴叙俊专访孙兴慜的节目中，援引了@腾讯体育 《对话英超》特别节目“孙兴慜的足坛地位”中@解说员于鑫淼 的论点：孙兴慜超越车范根只是时间问题。@雨轩说球 @说球的李家成 @热刺节操巷 @阿冷来_ 车范根和朴智星两位前辈都对孙兴慜推崇备至，车范根：“想起我们那个既渺茫又充满恐惧的时代，他简直太懂事、太了不起了。”朴智星：“当然是孙兴慜了，那怎么可能.. 不可能形成比较的。”不过孙兴慜本人非常谦虚：车范根教练和智星哥的成绩，我是无法超越的。#孙兴慜# 韩媒引用腾讯体育专访：孙兴慜跟车范根朴智星比怎么样？,,,2021-01-13,孙兴慜超话,10,2,6,孙兴慜,"腾讯体育,解说员于鑫淼,雨轩说球,说球的李家成,热刺节操巷,阿冷来_"
4592944197411517,JCZTZv64B,#英超告知俱乐部做好延期准备# #英超联赛# 北京时间1月13日， 据《每日电讯报》消息，英超联赛@premierleague 已经告知20家俱乐部，因为新冠疫情的影响，俱乐部必须做好进一步比赛延期的准备。对于比赛延期，以及一些补赛的时间，诸如穆里尼奥、斯科特-帕科这些主帅最近颇有微词。对此，英超首席执行官马斯特斯在致20名股东的一封信中向各俱乐部明确表示，这些安排都是基于特殊情况所致，需要灵活处理。,,,2021-01-13,微博 weibo.com,1,3,1,"英超告知俱乐部做好延期准备,英超联赛",premierleague
4592785905156216,JCVMGlDmM,曼联超话 拉师傅高球传中博格巴凌空抽射经过折射洞穿球门曼联1-0伯恩利【进球】核心的价值！拉师傅高球传中博格巴凌空抽射经过折射洞穿球门 ,,,2021-01-13,微博 weibo.com,6,1,2,,
4592765020930516,JCVf03U4k,不容易！#英超联赛# 第18轮，谢菲尔德联斩获赛季首胜，夏普罚进点球，这是他谢菲联生涯的第100球。【集锦】谢菲尔德联1-0十人纽卡斯尔联 夏普点射谢联取赛季首胜 ,,,2021-01-13,微博 weibo.com,3,1,0,英超联赛,
4592651062483126,JCShcapYq,【腾讯体育英超周中大战直播预告】@腾讯体育 @premierleague #英超联赛# 1月13日1:50 谢菲尔德联vs纽卡斯尔联解说：@彭磊1月13日4:05 狼队vs埃佛顿解说：@说球的李家成 1月13日4:05 伯恩利vs曼联解说：@雨轩说球 /@徐阳 1月14日1:50 曼城vs布莱顿解说：@毛正宇 /@徐阳 1月14日4:05 热刺vs富勒姆解说：@说球的李家成 /@宫磊CFA 1月15日3:50 阿森纳vs水晶宫解说：@王寅初nicky,,,2021-01-12,微博 weibo.com,4,2,1,英超联赛,"腾讯体育,premierleague,彭磊,说球的李家成,雨轩说球,徐阳,毛正宇,徐阳,说球的李家成,宫磊CFA,王寅初nicky"
4592594091510636,JCQNj6kZ6,#上海上港更名为上海海港# 北京时间1月12日足球报消息，上海上港中性名称，已拟定为“上海海港队”。此前披露的新队名未通过中国足协审核的4家中超俱乐部中，上海上港并不在其中。这也意味着中国足协已经通过了上港俱乐部提交的候选新队名，因此上港的新队名距离正式对外官方宣布，已经越来越近了。 ,,,2021-01-12,微博 weibo.com,8,7,1,上海上港更名为上海海港,
4592591146586887,JCQIyrDy7,#伯恩利vs曼联# #曼联vs利物浦# #双红会# 北京时间1月12日， 据《利物浦回声报》消息，曼联主帅索尔斯克亚表示不会为了双红会而去雪藏马奎尔。本周对曼联至关重要，球队将分别迎战伯恩利和利物浦。队长马奎尔此前已经拿到了4张黄牌，如果在伯恩利的比赛中再吃到黄牌，将无缘周末的双红会。对此，索帅表示：“马奎尔将参加对阵伯恩利的比赛，这是肯定的，除非他病了，你们不要把目光放在这场比赛（对伯恩利）之外的比赛上。”,,,2021-01-12,微博 weibo.com,1,0,0,"伯恩利vs曼联,曼联vs利物浦,双红会",
4592480940984692,JCNQO48a8,#英超新冠阳性病例创新高# 英超联赛官方公布了最新一轮新冠检测结果，此次共2593名球员和俱乐部工作人员参加检测，共出现了36例阳性病例，创造本赛季新高。 ,,,2021-01-12,微博 weibo.com,3,1,0,英超新冠阳性病例创新高,
4592480706889973,JCNQqsUoB,#天津泰达更名津门虎# 据津媒《天津日报》报道，天津泰达提交的中性名已经通过了中国足协的审核，目前正在办理各种注册手续之中。不出意外的话，天津泰达足球俱乐部也将在近日公布新名称。 ,,,2021-01-12,微博 weibo.com,0,0,0,天津泰达更名津门虎,
4592294223415401,JCIZEekv7,#英超联赛# 北京时间1月11日，托特纳姆热刺官方宣布，热刺与维拉的英超联赛第18轮比赛正式延期，改为热刺与富勒姆的补赛。按照既定赛程，阿斯顿维拉将在北京时间1月14日凌晨4点15迎战热刺，但这场比赛很可能不得不延期进行。英超联盟可能会安排热刺在同一或接近的时段与富勒姆进行补赛，而且富勒姆已被告知提前准备该时段可能进行的比赛。据悉，热刺将在当地时间1月13号晚20:15分对阵富勒姆，而富勒姆对切尔西的比赛为1月16号晚17:30。,,,2021-01-11,微博 weibo.com,0,0,0,英超联赛,
4592229841116095,JCHjO4Glx,#曼联vs利物浦# 五大经典比赛，双红会哪些瞬间让你记忆犹新？双红会TOP5经典比赛的回顾。 贝尔巴托夫在2010年的帽子戏法;2015年杰拉德最后一次双红会出场38秒就被罚下，这样一种结束方式，让人吃惊；2009年杰拉德镜头前深情一吻；1994年令人振奋的3-3进球大战...当年意气风发的C罗和鲁尼组成的红魔双子星；杰拉德、托雷斯、苏亚雷斯还为利物浦征战的日子，多少人的青春岁月，你怀念那些时光吗？你最喜欢利物浦vs曼联的哪一刻精彩瞬间？欢迎评论区留言曼联VS利物浦五大经典比赛，双红会哪些瞬间让你记忆犹新？,,,2021-01-11,微博 weibo.com,6,0,2,曼联vs利物浦,
4592159216642683,JCFtTrS43,#54岁三浦知良续约一年# 日本J联赛球队横滨FC官方宣布，与53岁的三浦知良续约一个赛季，2月26日就要年满54岁的他，将随队继续征战2021赛季。上赛季三浦知良在J1联赛登场4次，杯赛登场2次。 ,,,2021-01-11,微博 weibo.com,1,0,2,54岁三浦知良续约一年,
4592126039426365,JCECnDye9,#热刺5比0海运联# 足总杯第3轮，热刺客场5-0横扫第8级别球队马利恩，维尼修斯13分钟戴帽闪耀全场，小卢卡斯圆月弯刀，德维尼建功。 ,,,2021-01-11,微博 weibo.com,1,0,0,热刺5比0海运联,
4592125285242990,JCEBalZWm,#曼城3比0伯明翰# 足总杯第3轮，曼城3-0轻松淘汰英冠球队伯明翰晋级，贝尔纳多-席尔瓦梅开二度，福登建功。 ,,,2021-01-11,微博 weibo.com,0,0,0,曼城3比0伯明翰,
4592124911944878,JCEAz89X0,#切尔西4比0莫克姆# 足总杯第3轮，切尔西主场迎战英乙球队莫克姆。芒特远射建功，哈弗茨送出助攻，维尔纳打破进球荒，奥多伊锦上添花，切尔西3-0取胜，成功挺进足总杯32强。值得一提的是，维尔纳也打破长达两个月的进球荒。@英格兰足总杯 ,,,2021-01-11,微博 weibo.com,1,0,0,切尔西4比0莫克姆,英格兰足总杯
4592124504581563,JCEzUjdSb,"#尤文3比1萨洛索# #C罗加冕足坛历史射手王# 意甲第17轮，尤文图斯主场3比1战胜萨索洛。麦肯尼、迪巴拉因伤退场，奥比昂染红离场，达尼洛远射破门，德弗雷尔为萨索洛扳平比分,拉姆塞破门，C罗最后时刻破门，以759球追平比詹保持的历史进球纪录。 ",,,2021-01-11,微博 weibo.com,5,1,1,"尤文3比1萨洛索,C罗加冕足坛历史射手王",
4591779632124276,JCvBF8UCw,神奇的大合唱又来了！第6级别球队切奥尔雷2-0击败鲁尼所执教的德比郡挺进足总杯32强。@英格兰足总杯 神奇的大合唱又来了！第6级别球队切奥尔雷击败德比郡挺进足总杯32强 ,,,2021-01-10,微博 weibo.com,0,1,0,,英格兰足总杯
4591773752232688,JCvsb9mP6,#皇马闷平奥萨苏纳# 西甲第18轮，皇马客场0-0战平奥萨苏纳，近3轮两场战平，领先巴萨优势缩水至3分，落后少赛3轮的马竞1分。拉莫斯复出，皇马上半场0射正，阿森西奥精彩抽射被扑出，本泽马与拉莫斯两度进球被判无效。 ,,,2021-01-10,微博 weibo.com,0,0,0,皇马闷平奥萨苏纳,
4591771101435730,JCvnU61uW,#沙尔克终结30轮不胜# 德甲第15轮，沙尔克主场4-0击败霍芬海姆，终结联赛跨赛季30轮不胜，差一场平德甲最长不胜纪录（31场）。19岁美国小将霍普上演了帽子戏法，是第一个在德甲上演帽子戏法的美国人。此外，阿里特本场上演3传1射。沙尔克上一次在德甲中赢球，是在去年1月17日，沙尔克2-0战胜霍村。 ,,,2021-01-10,微博 weibo.com,2,2,0,沙尔克终结30轮不胜,
4591764424100416,JCvd8hcHK,#AC米兰2比0都灵# 意甲第17轮，AC米兰坐镇主场迎战都灵。凭借莱奥和凯西的进球，AC米兰2-0轻松取胜，暂时多赛一轮甩开身后的国米4分，领先尤文10分！值得一提的是，AC米兰赛季16场意甲至少打进2球，追平国米60年前创造的纪录。 ,,,2021-01-10,微博 weibo.com,2,1,0,AC米兰2比0都灵,
4591762544266620,JCva6hTWs,#巴萨大胜格拉纳达# #梅西梅开二度#西甲第18轮，巴萨客场4-0大胜格拉纳达，拿下客场4连胜，距少赛3场的马竞还差4分。梅西梅开二度，连续15赛季联赛进球上双，超越C罗任意球进球纪录，格列兹曼1传2射。 ,,,2021-01-10,微博 weibo.com,1,0,0,"巴萨大胜格拉纳达,梅西梅开二度",
4591759604059627,JCv5mh25R,【对话西古德森：请继续叫我“冰岛大狙”】《对话·英超》第28期，腾讯体育专访@埃弗顿足球俱乐部  西古德森@premierleague #英超联赛#“我非常喜欢冰岛大狙这个外号”“过去五六年国家队的经历对我们来说是一段美妙的旅程”“自信可能就是我们能保持出色状态的秘诀”《对话英超》第28期 西古德森：请继续叫我“冰岛大狙” ,,,2021-01-10,微博 weibo.com,1,1,0,英超联赛,"埃弗顿足球俱乐部,premierleague"
4591151988611602,JCfhkA8gO,#英超联赛# 曼联签下的新星有多强？来看看阿玛德-迪亚洛的个人集锦秀曼联超话 曼联签下的新星有多强？来看看阿玛德-迪亚洛的个人集锦 ,,,2021-01-08,微博 weibo.com,2,2,0,英超联赛,
4591151536147781,JCfgBpNjL,西汉姆联官方宣布，球队中锋阿莱转会阿贾克斯，阿贾克斯官网也已确认这笔转会，并透露球员的转会费为2250万欧元。阿莱2019年夏天从法兰克福加盟西汉姆联，一共出场过50次，打进14球。这位法国中锋之前曾在乌德勒支效力过两年半的时间。阿贾克斯官网表示俱乐部与阿莱签订了一份为期四年半的合同，2025年6月到期。更多英超转会新闻，实时更新腾讯体育,,,2021-01-08,微博 weibo.com,0,2,0,,
4590870890809971,JC7XX3oI3,#英超联赛# #阿斯顿维拉vs利物浦# 北京时间1月7日，维拉官方确认，队内多人感染新冠，球队已经关闭训练场。1月9日凌晨3点45，维拉将在足总杯中主场对阵利物浦。维拉在官方声明中写道：在新冠疫情爆发后，阿斯顿维拉已经俱乐部已关闭其训练场。 在经过例行测试后，大量一线队队员和员工呈现新冠病毒阳性，俱乐部已对这部分球员和员工进行了隔离。在进行了第二轮测试后得到了更多阳性反馈。俱乐部决定取消赛前训练。,,,2021-01-07,微博 weibo.com,3,0,0,"英超联赛,阿斯顿维拉vs利物浦",
4590833628614461,JC6ZQA90V,#本泽马# 据法新社报道，历时多年的“瓦尔布埃纳录像带事件”有了新的进展，本事件已经被移交至凡尔赛法院，本泽马将面临审判。凡尔赛检察院去年7月发起指控，申请以“勒索同谋”罪名对本泽马进行判决。本泽马以及其他5人一同被指控敲诈勒索罪。 ,,,2021-01-07,微博 weibo.com,0,1,0,本泽马,
4590780804506260,JC5CEiUhC,#亚足联最佳U23球员中国无人入围# 北京时间1月7日，亚足联在其官方网站上公布了亚洲最佳U23球员的20人候选名单，李刚仁、久保健英在列，中国则无人入围。在这份20人的候选名单中，日韩以及乌兹别克斯坦各有3人入围，沙特和伊朗分别2人入围，其余7人来自澳大利亚、泰国、马来西亚、约旦、卡塔尔、伊拉克和阿联酋，中国没有人入围其中。附亚洲最佳U23球员20人候选名单：元斗载（23岁 蔚山现代 韩国）阿布吉霍利科夫（23岁 纳萨夫 乌兹别克斯坦）三笘薰（22岁 川崎前锋 日本）哈姆丹（22岁 利雅得沙巴布 沙特）富安健洋（22岁 博洛尼亚 日本）盖耶迪（22岁 埃斯特拉尔 伊朗）阿里（20岁 阿尔赛利亚 伊拉克）久保健英（19岁 比利亚雷亚尔 日本）塔马里（23岁 希腊人竞技 约旦）翁功（20岁 北榄城 泰国）瓦德（21岁 阿尔萨德 卡塔尔）麦格里（22岁 伯明翰 澳大利亚）加涅耶夫（22岁 迪拜阿赫利 乌兹别克斯坦）阿布迪（22岁 波斯波利斯 伊朗）加里布（23岁 吉达阿赫利 沙特）李刚仁（19岁 瓦伦西亚 韩国）拉希德（23岁 波尔蒂芒 马拉西亚）松旻揆（21岁 韩国 浦项制铁）阿梅里（23岁 阿尔贾兹拉 阿联酋）亚赫什波耶夫（23岁 索力格尔斯克矿工 乌兹别克斯坦）,,,2021-01-07,微博 weibo.com,0,3,1,亚足联最佳U23球员中国无人入围,
4590732679577623,JC4n1EbzN,#比甲球员穿死敌球衣去训练# 据外媒报道，安特卫普球员兰凯尔-泽为了向俱乐部示威以寻求转会，竟穿着球队死敌安德莱赫特队的球衣出现在训练场上。不过俱乐部的工作人员并没有放他入场。为了能够转会也是煞费苦心啊 ,,,2021-01-07,微博 weibo.com,3,0,0,比甲球员穿死敌球衣去训练,
4590705706533042,JC3FwrpxE,#拉什福德转会身价足坛第一# 著名足球研究机构CIES（足球天文台），公布了新的一期球员转会身价排行榜，曼联前锋拉什福德以1.65亿欧元的转会价值排在第一，哈兰德、阿诺德、布鲁诺·费尔南德斯紧随其后。而上一期的榜单头名姆巴佩则下跌至第5位，身价由2.59亿欧元降至1.49亿欧元。梅西和C罗则由于年龄和合同到期时间分别位列第97（5400万欧元）和131（4700万欧元）。,,,2021-01-07,微博 weibo.com,1,0,0,拉什福德转会身价足坛第一,
4590699447587748,JC3vqvPV2,【传承】在今天凌晨AC米兰对阵尤文图斯的比赛中，丹尼尔-马尔蒂尼在比赛第81分钟替补登场，他完成了马尔蒂尼家族为米兰出战1000场比赛伟大里程碑，传奇永不泯灭，这个记录还将继续更新。AC米兰 马尔蒂尼家族代表AC米兰1000次出战意甲记录：塞萨尔-马尔蒂尼：347场保罗-马尔蒂尼：647场丹尼尔-马尔蒂尼：6场,,,2021-01-07,微博 weibo.com,3,1,1,,
4590667545709243,JC2FYnXez,#佩莱求婚瓦尔加成功##  结束8年爱情长跑！佩莱向瓦尔加求婚成功！又是吃狗粮的一天让我们一起祝福这对甜蜜的的情侣！  腾讯足球的微博视频 ,,,2021-01-07,微博视频,6,1,2,佩莱求婚瓦尔加成功,
4590665244350613,JC2CgifNb,#武磊进球# 在今天凌晨进行的西班牙国王杯第二轮比赛中，武磊面对西乙B球队布尔戈斯打入一粒头球，帮助西班牙人客场2-0战胜对手。这是武磊本赛季的第三粒进球，也是球队在2021年打入的第一粒进球。恭喜核武7！ ,,,2021-01-07,微博 weibo.com,5,1,0,武磊进球,
4590646754550252,JC28rj5Ja,#国米不敌桑普# 意甲联赛第16轮，桑普多利亚主场迎战国际米兰，坎德雷瓦小凯塔破门，桑切斯失点，德弗莱头球破门，国米1-2不敌桑普多利亚，距离榜首仍差1分。 ,,,2021-01-07,微博 weibo.com,3,2,2,国米不敌桑普,
4590643617204081,JC23nue6R,#尤文客胜米兰# #米兰新赛季首败# 意甲联赛第16轮，尤文图斯客场挑战AC米兰，迪巴拉贡献两次助攻，小基耶萨梅开二度，卡拉布里亚破门难救主，尤文图斯客场3-1击败AC米兰，终结了AC米兰联赛27场不败纪录。 ,,,2021-01-07,微博 weibo.com,7,2,0,"尤文客胜米兰,米兰新赛季首败",
4590462612537430,JBXlraE6i,#新建足球场内惊现坟墓# 近日，河南商丘，站集镇一处新建的社会足球场内有一个坟墓，引发关注。球场施工单位负责人表示，该足球场是教体局牵头招标的项目，已经迁出了几个坟，就这一个还没处理。目前，站集镇政府已承诺尽快完成迁坟任务。 ,,,2021-01-06,微博 weibo.com,4,0,0,新建足球场内惊现坟墓,
