id,bid,正文,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4593012963546743,JD1GUeSFx,#新冠疫苗#疫情相关的五大骗局，“新冠疫苗预约短信”你收到了吗？腾讯手机管家的秒拍视频 ,,,2021-01-13,微博 weibo.com,2,1,0,新冠疫苗,
4591875677238450,JCy6zun3c,#110警察节#今天，#广州110网上警营开放日# 活动在海心沙亚运公园如期举行。活动现场，腾讯手机管家联合广州反诈中心，进行了“防骗有‘术’ 天下无‘诈’”主题安全宣传，引导群众现场参与互动测试，看看自己的防骗能力指数有多高此外，大家还可以在“腾讯安全中心”小程序里查询陌生微信、QQ、手机号码，以及网址链接是否存在安全风险，还有各种诈骗案例剖析，提升安全意识,,,2021-01-10,微博 weibo.com,3,1,1,"110警察节,广州110网上警营开放日",
4591208636094652,JCgKHpzuQ,【警惕新冠疫苗、特效药骗局！】小心！！！如今，新冠疫苗研发稍有进展，骗子又打起新冠疫苗的主意，通过广发短信、混入家长群假扮老师群收费等方式进行诈骗。大家切记不要随意点击不明来历的链接和信息等，以免上当受骗。打开腾讯安全中心小程序-鉴定中心-不明网址查一查，避免盗号、中毒等风险！腾讯手机管家提醒您：任何关于疫苗接种，新冠特效药的消息，一切以官方消息为准！网页链接 #疫苗诈骗#,,,2021-01-08,微博 weibo.com,3,1,2,疫苗诈骗,
4588237244608142,JB1s8jkMS, 2021年，新的一年来啦！为你献上元旦出行游玩攻略：NO.1  出行游玩入住酒店/民宿，先检查有没有针孔摄像头 NO.2  流量不够想连接公共WiFi，先检测下WiFi安全性！NO.3  收到短信链接勿点击，先用不明网址查一查！ 打开腾讯手机管家App一手掌握，快乐游玩！ 转发这条微博，1月3日抽3位小伙伴送【哈士企福公仔 1个】，10位送【腾讯视频会员1个月】，快来！#再见2020# #2021# @微博抽奖平台 抽奖详情,,,2020-12-31,微博 weibo.com,11,23,26,"再见2020,2021",微博抽奖平台
4586063181653872,JA6TA6Wfm,#使命召唤手游正式上线# 果然和兄弟们共赴战场激烈厮杀，才是圣诞节的正确打开方式游戏内外还有超多有趣的活动等待大家发掘参与哦！小管也激动的为大家送上福利啦2020.12.25-2021.1.10期间点击链接参与本次注册送现金活动，即可获得现金奖励6-688元，满6元即可提现哦网页链接,,,2020-12-25,微博 weibo.com,5,0,0,使命召唤手游正式上线,
4585757279260377,JzYWbCR2V,#圣诞活动# 圣诞节来啦！身穿红袍的圣诞老人带着礼物来啦 在下方评论区说出你最经常使用腾讯手机管家的哪个功能？ 12月27日将抽3位小伙伴送【腾讯视频会员1个月】，30位送【腾讯视频会员7天】，快来！ @微博抽奖平台  抽奖详情 ,,,2020-12-24,微博 weibo.com,8,34,4,圣诞活动,微博抽奖平台
4583189212043914,JyU898zIm,【嫦娥归来】12月17日1时59分，嫦娥五号返回器携带月球样品在内蒙古四子王旗预定区域安全着陆，探月工程嫦娥五号任务取得圆满成功！腾讯手机管家特别上线了“嫦娥小火箭“皮肤，和“嫦娥5号”一起陪伴大家继续在平凡的日子里为不平凡的梦想奋斗！ 领取步骤：打开腾讯手机管家安卓端-我的-右上角设置，打开小火箭与悬浮窗，即可体验！ #嫦娥五号着陆地球# #嫦娥五号#  腾讯手机管家的微博视频,,,2020-12-17,微博视频,2,2,0,"嫦娥五号着陆地球,嫦娥五号",
4582396831734599,Jyzw77hfp,#每个坚守正义的人都是英雄#有那么一群人，不知道身份，却感觉很安心；不知道名字，却感觉很亲切，他们怀揣正义，无惧暗潮！@腾讯手机管家 与@腾讯110 一起致敬英雄，守护正义！ ,,,2020-12-15,微博 weibo.com,3,2,0,每个坚守正义的人都是英雄,"腾讯手机管家,腾讯110"
4582120871169833,Jysl14Ukh,#多地出现自称辛巴客服形式诈骗# 近期不少网友称在“辛巴团队”多位主播直播间买完东西，就接到自称是“辛巴客服”的电话，致使钱财被骗！当接到订单异常的电话，并要求平台外办理时，我该怎么办？网购的我们又该如何防范网购客服诈骗呢？点击👉👉👉 网页链接 #全民反诈防骗季# #净网2020#,,,2020-12-14,微博 weibo.com,2,0,0,"多地出现自称辛巴客服形式诈骗,全民反诈防骗季,净网2020",
