id,bid,正文,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4593032462861788,JD2cmc0tS,陈立农超话  @陈立农 不在意世俗冷态，全都让它化作尘埃～晚安陈立农《万分之一》官方版，快乐重新由己定义 ,,,2021-01-13,企鹅妹的iPhone客户端,2331,704,481,,陈立农
4593026033264549,JD21ZdHg1,#薪水很高但看不惯老板要不要辞职##令人心动的offer# 你觉得呢 ,,,2021-01-13,企鹅妹的iPhone客户端,28,18,0,薪水很高但看不惯老板要不要辞职,
4593011152132520,JD1DZ8WLu,#嘎嘎许天奇的vlog# 颜值打分测试2.9分？为了提高分数要开始箍牙了！矫正牙齿对颜值影响有多大？和彭于晏一样帅还不够！速来腾讯视频搜索【许天奇】一键关注了解🦷日常生活之箍牙实录！ 【许天奇】日常生活之箍牙实录！ ,,,2021-01-13,企鹅妹的iPhone客户端,8,5,1,嘎嘎许天奇的vlog,
4592990272096287,JD16j8Nl5,#令人心动的offer#元气新职场人携摩登气场来袭，办公室也可以很复古，上班族也很有态度#芭莎offer心动大片# ,,,2021-01-13,企鹅妹的iPhone客户端,48,10,7,,
4592984647277873,JD0Xeuxj3,赵磊超话#天赐的声音# 飞行合伙人@R1SE-赵磊 练歌现场大曝光！想解锁完整版歌曲吗？本周五晚来腾讯视频看《天赐的声音》，听歌手赵磊唱歌给你听~赵磊加盟《天赐的声音2》 ,,,2021-01-13,赵磊超话,2337,674,5374,天赐的声音,R1SE-赵磊
4592984538743451,JD0X3AGzp,#哈哈哈哈哈#「未播花絮」@演员梁超 在街边看到一个发型很像自己的帅哥，说切磋一下“乱劈柴”，@R1SE-张颜齐 表示鼓励结果没想到之前一直输的超哥居然真的逆风翻盘了，连赢两局，颜齐感叹终于可以把师傅的旗号亮出来了，真棒！梁超划拳连赢三局，张颜齐说不服迎战 ,,,2021-01-13,企鹅妹的iPhone客户端,91,14,2,哈哈哈哈哈,"演员梁超,R1SE-张颜齐"
4592968256461097,JD0wNr6Pf,#迷妹专访# × 管栎超话预告来啦！是什么犀利问题让@管栎YUE 拒绝回答？又是什么样的认人挑战让管老师大呼离谱已经觉得有些腻，和TA进入“冷静期”的到底是什么锁定@迷妹专访 14日（明天）正片更多精彩等你来看哦@腾讯视频 【预告】迷妹专访×管栎 ,,,2021-01-13,管栎超话,75,31,22,迷妹专访,"管栎YUE,迷妹专访,腾讯视频"
4592957829418945,JD0fYDwit,叮叮叮🎊#30秒安利爱豆计划# 来啦～爱豆某一场造型、某一个舞台、某一句歌声……只要是关于Ta的一切，就让人想安利给全世界进入腾讯视频app，关注「腾讯视频doki」官方账号，快发挥你的才华，来站内参加话题活动啦～有机会get🐧限量公仔礼物、腾讯视频会员卡、Q币哦👇一起参与活动吧网页链接,,,2021-01-13,企鹅妹的iPhone客户端,29,21,2,30秒安利爱豆计划,
4592943237955924,JCZSrxnHm,#翟潇闻滑雪比拿驾照容易#恭喜@R1SE-翟潇闻 又解锁一新技能下午学滑雪，晚上便能自己滑，果然是除了驾照，学什么都快的翟潇闻 ,,,2021-01-13,翟潇闻超话,5348,473,285,翟潇闻滑雪比拿驾照容易,R1SE-翟潇闻
4592929902952580,JCZwWco6g,#许魏洲浪冲的比较晚一些##迷妹专访#×许魏洲超话正片上线！@许魏洲ZZ 带你走进的横店拍戏日常，难逃减肥心酸新歌曲仅是新专辑预告？别急！拍完戏就准备新专回忆和@GAI周延 合作的单曲，录制竟是两年前？饭圈用语再抽查！bzjj在哪里？在线卑微拜托白粥姐姐们等等他今天 ...全文,,,2021-01-13,许魏洲超话,445,101,100,"许魏洲浪冲的比较晚一些,迷妹专访","许魏洲ZZ,GAI周延"
4592928955046622,JCZvplaR8,#天赐的声音#  飞行合伙人@单依纯 机智接歌，演唱深情！这周五晚#来腾讯视频看天赐的声音#第二季，这绝对是你“好久不见”的音乐盛会！单依纯深情清唱《好久不见》 ,,,2021-01-13,企鹅妹的iPhone客户端,21,5,1,"天赐的声音,来腾讯视频看天赐的声音",单依纯
4592906676210224,JCYVtq3yU,#李冰冰赛博朋克大片#@李冰冰 整套大片以暗黑色调为主，充满未来与科技感，大片中融合了花瓣、海水、自行车、灯管等环保元素，将环保与时尚结合的概念非常有创意，突破以往造型，呼吁大家保护环境，李冰冰的时尚表现力没话说，眼神坚毅酷感十足#李冰冰环保大片# ,,,2021-01-13,企鹅妹的iPhone客户端,254,226,218,"李冰冰赛博朋克大片,李冰冰环保大片",李冰冰
4592904167493542,JCYRqvrpA,#天赐的声音# 音乐合伙人@VaVaMiss 火力全开加盟《天赐的声音2》，后天晚上#来腾讯视频看天赐的声音#听VaVa高燃说唱～VaVa请你来《天赐的声音2》听炸裂说唱 ,,,2021-01-13,微博 weibo.com,8,1,0,"天赐的声音,来腾讯视频看天赐的声音",VaVaMiss
4592897720586477,JCYH22szj,#天赐的声音# 飞行合伙人@by2girl  甜美开嗓，甜蜜献唱！本周五晚#来腾讯视频看天赐的声音#第二季，听默契姐妹默契合唱！默契姐妹by2甜蜜献唱《天赐的声音2》 ,,,2021-01-13,微博 weibo.com,851,143,45,"天赐的声音,来腾讯视频看天赐的声音",by2girl
4592877722404247,JCYaMa5sb,#魔熙先生#预告上新，魔熙主理人@罗云熙Leo  和硬核玩家@染布的大飛  一起尝试植物印染独创华丽国潮单品，搭档大妈嗨跳广场舞险些闪腰，更多精彩戳预告一探究竟，明天中午12:00记得来腾讯视频和罗云熙超话 一起探索魔熙世界第4期预告：罗云熙植物印染做国潮单品 ,,,2021-01-13,罗云熙超话,1588,266,142,魔熙先生,"罗云熙Leo,染布的大飛"
4592869522279855,JCXXy9z5R,#创造营2021学员登岛卡##创造营# 2021海岛开服🎮登岛卡发布学员正在上号🥊世界那么大🗺我们一起闯 ,,,2021-01-13,企鹅妹的iPhone客户端,5239,606,282,"创造营2021学员登岛卡,创造营",
4592868029367766,JCXV8DiZ0,许魏洲超话#迷妹专访#预告来啦~洲洲在线分享MV拍摄趣事，是什么让他连连惊奇？@许魏洲ZZ 减重成功！水果减重？NO！晚餐BE的心酸谁知道？饭圈用语再抽查！这次洲洲有没有翻车？锁定@迷妹专访 我们正片下午见@腾讯视频 @腾讯时尚 【预告】迷妹专访×许魏洲 ,,,2021-01-13,许魏洲超话,206,58,40,迷妹专访,"许魏洲ZZ,迷妹专访,腾讯视频,腾讯时尚"
4592862794093731,JCXMHhaXV,《Time2wake-up》舞蹈版MV惊喜上线，酷拽dancer@林小宅 每个动作都恰到好处，配合歌词引起舒适，每个点都卡在心上，跟随律动聆听她的个性态度，快来感受一下吧。林小宅《Time2wake-up》舞蹈版MV ,,,2021-01-13,企鹅妹的iPhone客户端,116,23,2,,林小宅
4592859120927974,JCXGM3Tpk,#创造营2021学员登岛卡#正在派发海星鹅@腾讯视频创造营2021 账号创建完毕✅冒险模式🔛即将启动！#创造营# 2021 ,,,2021-01-13,企鹅妹的iPhone客户端,3504,295,14,"创造营2021学员登岛卡,创造营",腾讯视频创造营2021
4592856557164136,JCXCDu3IA,#杨超越被双倍辣火鸡面辣哭# @杨超越 挑战双倍辣火鸡面被辣到放弃表情管理太可爱了～ 腾讯综艺的微博视频 ,,,2021-01-13,杨超越超话,509,124,39,杨超越被双倍辣火鸡面辣哭,杨超越
4592855039871428,JCXAbFq0A,#哈哈哈哈哈#每次旅行都有不一样的风景，愿欢声笑语一直围绕 ,,,2021-01-13,企鹅妹的iPhone客户端,14635,332,141,哈哈哈哈哈,
4592845631783104,JCXl17tRK,#尼格买提撒贝宁天高地厚# 芳心纵火犯撒撒走心了，在大草原的湖边向好友尼格买提真情告白：你是我想要的朋友！只是都没有给小尼留说话的时间就开唱《天高地厚》哈哈哈不过两位的歌声真的可！#你好生活# 掏心窝子了，小撒小尼合唱《天高地厚》超感动 ,,,2021-01-13,企鹅妹的iPhone客户端,8,4,1,"尼格买提撒贝宁天高地厚,你好生活",
4592827386039088,JCWRApl2E,#傅菁赛里木湖唱歌# 诗意的风景，动听的歌声，如画的美人@傅菁 #你好生活# 傅菁唱歌样子好美，一首《荒唐》走进心里 ,,,2021-01-13,傅菁超话,1122,129,92,"傅菁赛里木湖唱歌,你好生活",傅菁
4592824529717462,JCWMYELXg,邓伦超话  @邓伦 早安！记得随时随地记录生活的美好哟～ ,,,2021-01-13,企鹅妹的iPhone客户端,913,199,108,,邓伦
4592675532052248,JCSUF8BSM,时代少年团超话  @时代少年团 追寻的岛屿无影无踪，又一次把美梦扑空，我在你身后当你的听众。晚安相遇 ,,,2021-01-12,企鹅妹的iPhone客户端,3304,370,81,,时代少年团
