id,bid,正文,日期,工具,点赞数,评论数,转发数,话题,@用户
4.58825E+15,JB1H232eG,好消息！腾讯 AI 足球队拿了个世界冠军。腾讯 AI Lab 研发的绝悟 WeKick 版本，在 Google Research 与英超曼城俱乐部联合举办的 11v11 足球 AI 竞赛中，以大比分赢得了胜利。据说比赛相当激烈，球一传，一脚抽射，进了！诶，慢着，「绝悟」...... 不就是王者荣耀里的那个 AI 吗？是的，就是它，它踢足球一样很行。总之，恭喜它！  腾讯AI足球队获世界冠军！,2020/12/31,微博 weibo.com,55,67,6,,
4.58818E+15,JAZUY0KMh,#QQ2020 年度 00 后热词#  yyds、干饭王、有手就行......我们这些00后热词，你们都晓得几个哇？@腾讯QQ 来评论区互动，咱来瞅50个00后送出腾讯视频季卡各1张  腾讯公司的微博视频  抽奖详情 ,2020/12/31,微博视频,126,163,21,QQ2020 年度 00 后热词,腾讯QQ
4.58751E+15,JAItX0i2x,峨眉山年度短剧#枣知道# 现正上映主演：世界遗产讲述人@秦昊 作者：@爱潜水的乌贼本尊导演：翁劼 @润物定格动画   不来看#秦昊在峨眉山吃枣# 吗这是“世界文化遗产新文创计划”的推广作品，由腾讯联合@阅文集团 发起，号召中国网络文学作家们，以联合国教科文组织纳入的文化遗产为原型，创作短篇文学作品。我们将以新文创模式，邀请编剧和短视频创作者以短剧、动漫、音乐等多种数字内容形态进一步开发该文学作品。用这种全链条的短IP发展模式，让公众能在丰富的数字内容中云游文化遗产，在家即能感受人类千年文化之美。@NextIdea腾讯新文创大赛 的参赛作品也在其中哦！ 腾讯公司的微博视频,2020/12/29,微博 weibo.com,1472,550,9301,"枣知道,秦昊在峨眉山吃枣","秦昊,爱潜水的乌贼本尊,润物定格动画,阅文集团,NextIdea腾讯新文创大赛"
