id,bid,正文,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4593046224642750,JD2yyjtN4,#CBA联赛# 过去已经定格，就让它尘封吧，努力书写今天，让明天的怀念多一些亮色。晚安，朋友们。晚安超话 ,,,2021-01-13,微博 weibo.com,10,5,0,CBA联赛,
4593038905049204,JD2mKlbwM,#CBA联赛# 【野球外援32+11末节18分击碎质疑】在一场赛前同为5胜23负的倒数第一争夺大战，天津力克同曦拒绝垫底，“野球外援”爱德华兹自然是赢球头号功臣。他全场18中9，其中三分球5中3，外加罚球16中11，狂轰32分11篮板4抢断的华丽数据率队赢球，尤其是末节18分超同曦全队仅15分，率队打崩同曦取胜。值得一提的是，爱德华兹借助本场得到32+11+4，他多项数据创造CBA生涯新高：其一，爱德华兹首次贡献30+得分，32分创造生涯新高，此前是对阵广厦有过29分表现。其二，爱德华兹16次罚球命中11球，均是创造生涯新高，此前最多是8罚6中。其三，爱德华兹4次抢断也是生涯新高，此前最多是2次抢断。了解更多详情，手机打开腾讯体育APP，搜索“醉卧浮生”，关注腾讯体育号优质作者#cba红包飞#,,,2021-01-13,微博 weibo.com,6,2,2,"CBA联赛,cba红包飞",
4593033351268618,JD2dN5k1A,#CBA联赛# 【胜疆粤两强本赛季仅两队做到】上海从常规赛伊始就陷入了困难境地，整个第一阶段，上海只取得了4胜7负的战绩，与人们赛季开始之前的预期相去甚远，质疑之声不绝于耳。20-21是CBA历史上常规赛赛程最漫长的一个赛季，过早下任何结论都很容易被推翻。今晚再度爆出冷门击败新疆，上海成为了本赛季开始以来第二支先后击败过疆粤两强的球队，此前完成过这项壮举的球队是有着“巨人杀手”之称的吉林。这足以说明上海休赛期的重金投入也没有“打水漂”，经过有效调整磨合，他们还会有更大的进步空间...能赢疆粤两强本赛季仅两队做到 谁说新土豪花钱打水漂？了解更多详情，手机打开腾讯体育APP，搜索“老猎人聊球”，关注腾讯体育号优质作者#cba红包飞#,,,2021-01-13,微博 weibo.com,10,6,0,"CBA联赛,cba红包飞",
4593028884608547,JD26AjkTp,#CBA联赛# 【爱德华兹32+11天津力克同曦】此役天津在大外援托多罗维奇缺阵的局面下与同曦鏖战三节，末节在攻防两端发力，单节打出32-15净胜17分直接奠定胜势，最终以106-94战胜同曦。爱德华兹砍下32分11篮板，时德帅22分4篮板，何思雨14分5篮板5助攻，孟子凯10分3篮板2助攻；同曦方面摩尔特里35分13篮板5助攻，西热力江17分3篮板9助攻，王梓旭16分6篮板，万圣伟10分9篮板4助攻。,,,2021-01-13,微博 weibo.com,3,0,1,CBA联赛,
4593024534843939,JD1Zzkk83,#CBA联赛# 【莫泰空砍31+21新疆不敌上海】此役两队鏖战半场，上海第三节在弗雷戴特的带领下逐步确立领先，第四节前段一度将分差扩大到19分，新疆最后阶段反扑未果，最终以97-110不敌上海。莫泰尤纳斯砍下31分21分5篮板，周琦18分10篮板4助攻，曾令旭14分4篮板7助攻，齐麟11分4篮板2助攻，唐才育11分4助攻；上海方面弗雷戴特35分7篮板5助攻，邓蒙27分7篮板，董瀚麟14分3篮板，宗赞9分6篮板。,,,2021-01-13,微博 weibo.com,19,9,2,CBA联赛,
4593018151900777,JD1Ph7YtH,欧文无故缺阵竟是考验阿杜带队能力？玩归玩闹归闹，party不拍照拍照戴口罩！只要登哥打得烂，交易就能来得快？乌布雷定律破于勇士第三定律...快来看看@绘说篮球 的今日作品！玩归玩闹归闹欧文party没口罩？哈登：只要打的烂交易就更快 ,,,2021-01-13,微博 weibo.com,13,2,2,,绘说篮球
4593010543695757,JD1D0fvqZ,#CBA联赛# 【摩尔特里20+6+4同曦半场落后天津】此役两队针锋相对，天津在首节结束前打出一波11-2拉开分差，而同曦则在摩尔特里单节14分的带领下次节将比分咬住，半场48-53落后天津。摩尔特里砍下20分6篮板4助攻，王梓旭8分5篮板，西热力江7分1篮板4助攻；天津方面时德帅12分1篮板，金鑫10分2助攻，特罗特9分，何思雨8分3篮板5助攻，孟子凯8分3篮板2助攻。,,,2021-01-13,微博 weibo.com,1,0,1,CBA联赛,
4593005304228597,JD1uyhK3b,#CBA联赛# 【邓蒙半场20+5上海领先新疆】此役新疆开局以一波12-2抢占优势，上海后来居上，在弗雷戴特和邓蒙的带领下内外开花将比分逆转，半场以54-52领先新疆。邓蒙砍下20分5篮板，弗雷戴特10分2篮板2助攻，董瀚麟6分2篮板；新疆方面莫泰16分11篮板，周琦12分5篮板2助攻，齐麟10分3篮板，曾令旭9分4助攻。,,,2021-01-13,微博 weibo.com,9,0,1,CBA联赛,
4592989177384783,JD14xuZ7p,#CBA联赛# 【球队出场大名单出炉】19:35@上海久事大鲨鱼官方微博  对阵@新疆广汇篮球俱乐部 ，20时@天津荣钢篮球俱乐部 对阵@南京同曦大圣篮球俱乐部 ，两场比赛的大名单已经确定，快来看看吧！ ,,,2021-01-13,微博 weibo.com,4,2,1,CBA联赛,"上海久事大鲨鱼官方微博,新疆广汇篮球俱乐部,天津荣钢篮球俱乐部,南京同曦大圣篮球俱乐部"
4592977874518813,JD0MjiXy5,【预告！1月14日带你见见男篮超新星】如今，城市运动风潮已经在我们身边越来越多，特别是商圈内，多种运动场所就在家门口。红松果·“烎”球场，地处北京东部地标性商业购物中心-合生汇购物中心的5层。“烎”，寓意着心向光明，斗志昂扬，这也是很多年轻人打篮球的一种态度。1月14日下午，腾讯CBA将在这里，带你见见一位男篮超新星，那么到底是谁呢？,,,2021-01-13,微博 weibo.com,5,4,0,,
