id,bid,正文,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4593028993654610,JD26LfkJk,#山海情##电视剧山海情# 一出好戏的诞生，从得福与枸杞说起。@黄轩的微博《山海情》幕后花絮：得福与枸杞的故事 ,,,2021-01-13,快乐2021的iPhone客户端,5,0,0,"山海情,电视剧山海情",黄轩的微博
4593023096197205,JD1Xfq0aV,#电视剧山海情# 今晚跟集剧照来啦~60户达成，通电问题终于解决了！@黄轩的微博 @郭京飞 @张嘉益工作室 @热依扎 @白宇帆 黄尧 @在下三土 @胡明BOBO ,,,2021-01-13,微博 weibo.com,11,0,1,电视剧山海情,"黄轩的微博,郭京飞,张嘉益工作室,热依扎,白宇帆,在下三土,胡明BOBO"
4593022111581929,JD1VF6DwZ,#山海情方言##电视剧山海情# 陈金山在火车上被偷了东西，奈何当地警察听不懂福建口音，还得找得福做翻译，场面一度搞笑。@黄轩的微博 @郭京飞 #黄轩郭京飞鸡同鸭讲#说着福建话的郭京飞来了，与黄轩鸡同鸭讲 ,,,2021-01-13,快乐2021的iPhone客户端,26,11,5,"山海情方言,电视剧山海情,黄轩郭京飞鸡同鸭讲","黄轩的微博,郭京飞"
4593015983181944,JD1LMdlLG,#电视剧山海情# #山海情方言好上头# 走远咧，走远咧，眼泪花儿把心淹了，也得走下去！水花拉着残疾的丈夫和女儿晓燕，七天七夜，四百多公里，终于来到了金滩村。@黄轩的微博 @热依扎 @演员张优 水花太惨了，拖着丈夫孩子四百里吊庄 ,,,2021-01-13,快乐2021的iPhone客户端,19,0,0,"电视剧山海情,山海情方言好上头","黄轩的微博,热依扎,演员张优"
4593011922831821,JD1FebSGx,#电视剧山海情##山海情方言好上头# 水旺爷为了种树累坏了身子，要看树苗浇不上水要枯死，马喊水着急，办事的得福更急，这可咋办！@黄轩的微博 @张嘉益工作室 泪目！水旺爷为了种树累坏了身子 ,,,2021-01-13,快乐2021的iPhone客户端,12,0,0,"电视剧山海情,山海情方言好上头","黄轩的微博,张嘉益工作室"
4593009256047370,JD1AVpnce,#谢允跟周翡回四十八寨# 周翡@赵丽颖 谈及曾和木小乔@演员郭鑫 畅聊，谢允@UNIQ-王一博 听闻后吃醋，学着木小乔的样子翘起兰花指。原来“想得开”居士也有想不开的时候  #谢允兰花指#谢允吃醋模仿木小乔竖兰花指 直言要带周翡玩遍天下！ ,,,2021-01-13,微博 weibo.com,130,28,13,"谢允跟周翡回四十八寨,谢允兰花指","赵丽颖,演员郭鑫,UNIQ-王一博"
4593006742864401,JD1wSc1a1,#殷沛出身于名门正派# 殷沛@孙坚 下线，众人竟有说有笑上前围观？唯一落泪者居然还是因为急着去厕所？年轻人为何如此不讲武德？敬请收看今日花絮~ #殷沛下线#《有翡》独家花絮：众人围观殷沛下线 楚楚当场落泪？ ,,,2021-01-13,微博 weibo.com,152,10,11,"殷沛出身于名门正派,殷沛下线",孙坚
4593004226551613,JD1sOrunb,#周翡谢允一日不死便一日不弃# 洗墨江旁，谢允@UNIQ-王一博 以一束山花向周翡@赵丽颖 下聘。山水为证，山花为聘，一日不死，一日不弃。  #周翡谢允定终身#谢允劝退情敌弟弟 以山花一朵向周翡下聘求婚！ ,,,2021-01-13,微博 weibo.com,280,30,22,"周翡谢允一日不死便一日不弃,周翡谢允定终身","UNIQ-王一博,赵丽颖"
4593000452195129,JD1mJ9d3j,#周翡谢允放天灯许愿# 想要多才多艺，得从娃娃抓起。点击收看“特派记者”阿翡@赵丽颖 带来的采访一则。特邀嘉宾：捧场达人谢允@UNIQ-王一博 #谢允愿周翡百岁无忧#《有翡》独家花絮：谢允竟是隐藏“才艺大师”？ ,,,2021-01-13,微博 weibo.com,419,38,68,"周翡谢允放天灯许愿,谢允愿周翡百岁无忧","赵丽颖,UNIQ-王一博"
4592997930383493,JD1iF1BLn,#周翡我自己的人我会自己护着# #周翡谢允放天灯许愿# 周翡@赵丽颖 和谢允@UNIQ-王一博 一起放天灯许愿。祈今生，求来世，天灯烁烁，此情灼灼。 #谢允愿周翡百岁无忧#周翡谢允一起放天灯 眼里心里愿望都是你！ ,,,2021-01-13,微博 weibo.com,1011,269,262,"周翡我自己的人我会自己护着,周翡谢允放天灯许愿,谢允愿周翡百岁无忧","赵丽颖,UNIQ-王一博"
4592996676800541,JD1gDsx89,#网剧我的小确幸# #我的小确幸开播# 相遇相识相知相爱岁月静好有你真甜正片来啦→我的小确幸_01我的小确幸_02 ,,,2021-01-13,微博 weibo.com,166,114,45,"网剧我的小确幸,我的小确幸开播",
