id,bid,正文,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4593002900883958,JD1qG3HXo,门德尔松一首沉睡百年的协奏曲在世纪后重启，马勒《 第一交响曲 》用流动的色彩复刻盎然春意......两位业界重量级音乐家 徐惟聆、盛原 再现两首曲子的浪漫、精妙与风格独具！上海交响乐团开年全新演出- 杨洋演绎「 巨人 」音乐会预售通道现已开启！1月17日（本周日）19:30 演出上线前购票，即可享受12元早鸟价！扫描海报二维码，购票直达！👇🏻精彩瞬间抢先看👆🏻马勒年首献！上海交响乐团杨洋演绎「巨人」线上音乐会开票！,,,2021-01-13,iPhone客户端,2,0,0,,
4591545883560266,JCpwEeWbE,今日分享来自“荷兰艺线”[转圈]约翰·德·梅杰是长号手、指挥家、作曲家，曾改编过许多电影经典配乐，包括《歌剧魅影》和《魔戒》。《给予之时》是他为管乐五重奏与管弦乐团所创作的大协奏曲，为了向荷兰传奇足球运动员约翰·克鲁伊夫致敬而作。前后筹备了三年之久，直到2020年1月10日，由凯乐纷管乐五重奏携手荷兰首屈一指的荷兰皇家海军军乐团在荷兰蒂尔堡首演。演出由乐团艺术总监Arjan Tien指挥，这场也是荷兰皇家海军军乐团75周年庆祝活动之一。点击👇🏻精彩即刻开启~荷兰凯乐纷管乐五重奏& 荷兰皇家海军军乐团: 约翰·德·梅杰《给予之时》全场音乐会,,,2021-01-09,iPhone客户端,4,0,1,,
4591186075462865,JCgajmV8J,新年伊始，听几首欢快祥和的曲子再适合不过了。今天鹅给大家带来的荷兰艺线全新展演内容中，就有小约翰·施特劳斯的歌剧《蝙蝠》序曲，和荷兰凯乐纷管乐五重奏与荷兰皇家海军军乐团的联袂合作！同时还有荷兰国立博物馆的精品短视频，以及“乌雷曾来过”展览导赏！超多精彩内容，助你乐享新年！荷兰艺线第四弹 | 鹿特丹爱乐乐团、荷兰国立博物馆...头部艺术机构给你超精彩新年特献！,,,2021-01-08,iPhone客户端,4,0,1,,
4589025639534995,JBlXJE0uf,明晚19:30，倍受期待的荷兰管乐团2021年新年音乐会将上线[转圈]  欧洲最负盛名、历史最悠久的跨界管乐团--荷兰管乐团奉献精彩演出，一众实力艺术家加盟~@荷兰驻华大使馆 @荷兰在线NLO 阿姆斯特丹皇家音乐厅还将分身出12个舞台，奉献不一般的现场！暴风期待！这场“荷兰春晚”燃炸街！荷兰管乐团2021年新年音乐会独播预约开启！更多精彩美图，看推文👆🏻戳链接，预约观看！！👇🏻网页链接,,,2021-01-02,iPhone客户端,6,0,5,,"荷兰驻华大使馆,荷兰在线NLO"
4588992143822908,JBl5Ig2vO,展览#赤子心# | 武士觉醒，气骨长存今晚20：00锁定@腾讯视频 ，我们将为大家独家直播艺术家任哲@任哲工作室 开年大展“赤子心”的开幕之夜！开幕现场将以音乐表演、灯光秀等方式，串联起虚拟影像与现实空间，歌手@ GAI周延 以及演员@吴樾 将会为大家带来精彩的演出，点击链接马上预约观看直播👉 网页链接# 另有百位名人加盟助力，发起全社会共同参与这次艺术项目，旨在唤起人们心中的赤子之心，激发全社会与其精神内核产生共鸣。赤子心 | 武士觉醒，气骨长存,,,2021-01-02,微博 weibo.com,2,1,0,赤子心,"腾讯视频,任哲工作室,吴樾"
4588571481086066,JBa9e4yxc,新年快乐～腾讯艺术跨年音乐会火热进行中！【1月1日晚8点 】，2021广州新年音乐会将在腾讯艺术频道直播！网页链接艺术鹅和@广州交响乐团 一起，送出新年福利大礼！免费观看音乐会，和艺术大咖互动机会？现在你的机会来了，只需要4⃣️个步骤！！（划重点✏️）1⃣️转发这条微博@腾讯艺术   ；2⃣️加上#广州新年音乐会#  ；3⃣️回复“我在XX（城市名）2021艺术盛宴-广州新年音乐会直播，我来啦！” ；4⃣️添加艺术鹅微信，扫描下方二维码，就可以参加活动啦！！！一定要加艺术鹅微信呦，不然小鹅不晓得您的加入～ （活动⏰）从即刻起到【【2021年1月2日晚21点整 】】记住这个时间哈··我们将选取这个时间段内，转赞评最高前10位乐友将获得由著名指挥家、广交音乐总监余隆执棒广州交响乐团在2020年12月1日演奏的李海鹰《第一交响曲（珠江）》世界首演实况录音专辑。还等什么，一起来参加吧。（开奖⏰截止）【【2021年1月5日】】开启获奖名单，乐友们可以关注腾讯艺术微博，或者关注公众号：腾讯艺术，知晓获奖结果～也可添加艺术鹅微信: ArtPenguin，时时知道您的开奖情况，更能看到最新的演出资讯～～,,,2021-01-01,iPhone客户端,11,15,10,广州新年音乐会,"广州交响乐团,腾讯艺术"
4588330530376122,JB3SB1zQu,来吧朋友们，深圳跨年音乐会新上线了哇！！快来抢前排，欢快音乐🎶陪你跨年！2021深圳跨年音乐会-高清全场  查看图片,,,2020-12-31,iPhone客户端,0,0,0,,
4588253405514174,JB1Scn8ui,"今晚19:00 上海大剧院新年音乐会直播开始吼，没预约的小伙伴记得抢占前排

今晚22:30  深圳跨年音乐会也将上线 ！敬请期待٩(♡㉨♡ )۶ 所有场次的预约/观看链接都在👇🏻网页链接 ",,,2020-12-31,iPhone客户端,0,0,0,,
4588238239439757,JB1tJDBI9,直播预约已开启|上海大剧院新年音乐会经典歌剧之夜+2021深圳跨年音乐会！年末音乐狂欢！🎉🎉直播预约已开启|上海大剧院新年音乐会经典歌剧之夜+2021深圳跨年音乐会！年末音乐狂欢！ ,,,2020-12-31,iPhone客户端,0,0,1,,
4588187693095634,JB0adcZjA,如果2021是一种颜色，你希望它是什么色？和艺术家一起创作，会碰撞出什么样的火花？@腾讯艺术 x @芭莎艺术 联合出品#艺术家+计划# 预告片新鲜出炉！想知道国际名模@Ming奚梦瑶 、摇滚音乐人@赵梦Kelsey 与艺术家颜磊一同创作出什么样的独特色轮？关注@腾讯艺术 让我们一起期待吧！你的#2021幸运色# ，在评论区告诉我们吧～腾讯艺术x芭莎艺术联合出品【艺术家+计划】预告片新鲜出炉！,,,2020-12-31,微博 weibo.com,4,1,0,"艺术家+计划,2021幸运色","腾讯艺术,芭莎艺术,Ming奚梦瑶,赵梦Kelsey,腾讯艺术"
4587943392708759,JATObbmFF,五场跨年音乐会，今天进行了第一场，朋友们感觉如何哇最近线下演出比较受限，鹅子会努力搭好线上平台，为大家提供更多优质的演出明天将有两场新年音乐会上线，19:00上海大剧院新年音乐会22:30 2021深圳交响乐团跨年音乐会大家记得戳链接预约观看席位！👇🏻鹅明晚直播间等大家~网页链接,,,2020-12-30,iPhone客户端,5,2,1,,
4587918406978417,JAT9Sthp7,原创民族音乐史诗《紫禁城》直播开播啦 集美们赶紧来 本鹅都被震撼到了👍网页链接 ,,,2020-12-30,iPhone客户端,1,0,1,,
4587882772436093,JASepadJP,"🪕直播倒计时2小时📌

今晚19:00 上海民族乐团《紫禁城》音乐会直播就要开始了 ~~民族好声音邂逅壮美紫禁城，用最high的音乐热浪陪你开启元旦小假期[转圈]  快戳👇🏻预约直播！鹅子在直播间等你[让我看看]网页链接 ",,,2020-12-30,iPhone客户端,1,0,0,,
4587581373679254,JAKohfr8O,忙碌到年尾，何不用⼀场盛⼤的音乐狂欢来释放所有的焦灼与疲惫?今年，腾讯艺术频道筹备了五场风格迥异但精彩纷呈的跨年音乐会，让你在元旦假期内音乐享不停，艺术嗨翻天!这⾥里有与紫禁城邂逅的民族音乐，有来⾃自德、法的多风格经典歌剧，有星级艺术家云集共奏 的中国⻛管弦乐，有大家耳熟能详的西方经典交响乐，更有代表着欧洲顶级演奏水准的荷兰“春晚”!  12⽉30日到1⽉3日，五场音乐会相继上线，点击链接预约直播，提前锁定你的观看席位吧!  腾讯艺术跨年音乐会直播首场预约开启！原创民族音乐史诗《紫禁城》献上一份饱含中华文明的新年贺礼！下面是明天将直播的第一场-上海民族乐团《紫禁城》音乐会  的详细介绍，里面有各场直播的预约链接，记得点击预约直播哈！ps，没加跳转链接的两场，鹅子这两天会给大家同步最新的预约地址记得关注鹅的推送,,,2020-12-29,iPhone客户端,4,0,0,,
4586871613556399,JArVveVbh,时装设计跨界芭蕾，摇曳出最唯美前卫的时尚，今日推荐来自于“荷兰艺线”~今天给大家推的这支小片非！！！！常！！！！美  。鹅很少用这么通俗直接地去夸一支舞蹈，但今天华丽的辞藻显得多余🙆🏻♀️时装设计师艾里斯·范·荷本与荷兰国家芭蕾舞团共同探索了时尚与舞蹈间的共生关系。这部由瑞安·麦克丹尼尔斯(Ryan McDaniels)导演的短片，呈现了舞者毛晶晶美丽动人的舞姿。影片灵感来自于仿生这一概念，即仿照生物的自然变化过程来设计生产材料与系统，突出人与自然间的亲密关系。戳👇🏻即刻欣赏，真的很好看(๑*◡*๑)艾里斯·范·荷本&荷兰国家芭蕾舞团 '仿生学' 高光时刻,,,2020-12-27,iPhone客户端,16,1,12,,
4586870958720937,JArUrAAIh,上海交响乐团2020-2021音乐季音乐会“协奏的盛宴”即将上线！让我们一起欣赏柴可夫斯基、弗朗赛、科恩戈尔德的经典曲目，用钢琴、单簧管、小提琴的盛大协奏犒劳下忙碌到年尾的自己吧！扫描海报二维码，购票直达！今晚共赴一场“协奏的盛宴”！结尾附鹅的年终感言彩蛋！ ,,,2020-12-27,iPhone客户端,7,0,0,,
